Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_ppm,reported_CO2_low,reported_CO2_high,reported_S_ppm,S_used,Notes
"Cerling, 1992","Albian (from Ekart et al., 1999); Proctor Locality in Twin Mountains Formation (Lower Cretaceous)",106.8,113.0,100.5,600,mean,300,1200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2250,1500,3000,7500,2000,
"Koch et al., 1992",just after the PETM in the Bighorn Basin,55.5,56.0,55.0,328,mean,164,656,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),820,500,1150,5000,2000,
"Koch et al., 1992",just before the PETM in the Bighorn Basin,56.5,57.0,56.0,428,mean,214,856,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1070,500,1700,5000,2000,
"Kenny & Neet, 1993",Late Pennsylvanian,303.0,307.0,298.9,588,mean,294,1176,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1470,850,2050,5000,2000,
"Muchez et al., 1993",Lower Visean,344.9,346.7,343.0,524,mean,262,1048,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1310,690,1890,5000,2000,
"Quade et al., 1994 (reported in Ekart et al., 1999)",Turolian (Miocene); Mytilini Formation on Samos; radiometric date of 7.66 +/- 0.13 Ma,7.7,7.8,7.5,292,mean,146,584,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),730,330,1130,5000,2000,
"Quade et al., 1994 (reported in Ekart et al., 1999)",Vallesian (Miocene); Nea Messimbria Formation,10.6,11.2,9.9,448,mean,224,896,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1120,720,1520,5000,2000,
"Quade et al., 1994 (reported in Ekart et al., 1999)",Turolian [Chomateri?] (Miocene),7.1,8.9,5.3,468,mean,234,936,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1170,770,1570,5000,2000,
"Sinha & Stott, 1994",Sparnacian; just after the PETM,55.5,56.0,55.0,100,mean,50,200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),500,300,700,10000,2000,Vertisols
"Sinha & Stott, 1994",Sparnacian; just before the PETM,56.5,57.0,56.0,100,mean,50,200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),500,300,700,10000,2000,Vertisols
"Andrews et al., 1995",Maastrichtian (Lameta Beds),69.1,72.1,66.0,60,mean,30,120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),300,0,1300,10000,2000,
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Miocene (difficult to determine more precise age from paper; probably precise to ~+/- 2 Myrs),7.0,9.0,5.0,148,mean,74,296,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),370,0,970,5000,2000,
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Miocene (difficult to determine more precise age from paper; probably precise to ~+/- 2 Myrs),9.0,11.0,7.0,204,mean,102,408,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),510,110,910,5000,2000,
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Miocene (difficult to determine more precise age from paper; probably precise to ~+/- 2 Myrs),13.0,15.0,11.0,296,mean,148,592,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),740,440,1040,5000,2000,
"Quade & Cerling, 1995 (reported in Ekart et al., 1999)",Miocene (difficult to determine more precise age from paper; probably precise to ~+/- 2 Myrs),13.0,15.0,11.0,176,mean,88,352,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),440,140,740,5000,2000,
"Mora et al., 1996",Early Permian,285.6,298.9,272.3,70,mean,35,140,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),175,150,200,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Late Pennsylvanian,303.0,307.0,298.9,250,mean,125,500,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),625,450,800,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Late Mississippian,327.1,330.9,323.2,290,mean,145,580,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),725,600,1000,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Late Mississippian,327.1,330.9,323.2,210,mean,105,420,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),525,450,600,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Visean-Namurian,332.6,346.7,318.5,320,mean,160,640,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),800,600,1000,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Middle Mississippian,338.8,346.7,330.9,190,mean,95,380,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),475,450,500,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Famennian,365.6,372.2,358.9,395,mean,198,790,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),988,700,1275,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Late Devonian,365.6,372.2,358.9,600,mean,300,1200,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1500,950,2050,5000,2000,description sounds like Vertisols
"Mora et al., 1996",Ludlovian-Pridolian,423.3,427.4,419.2,1680,mean,840,3360,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),4200,3200,5200,5000,2000,description sounds like Vertisols
"Ekart et al., 1999",Miocene,5.0,,,324,mean,162,648,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),810,410,1210,5000,2000,"""Miocene"" age does not fit with reported age (5 Ma)"
"Ekart et al., 1999","Miocene (Huete ?Formation, Spain)",21.0,,,312,mean,156,624,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),780,380,1180,5000,2000,
"Ekart et al., 1999","Late Oligocene (Salla Formation, Bolivia)",25.6,28.1,23.0,588,mean,294,1176,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1470,770,2200,5000,2000,
"Ekart et al., 1999","Eocene (Claron Formation, Utah)",45.0,,,780,mean,390,1560,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1950,1600,2200,5000,2000,
"Ekart et al., 1999","early Paleocene (Rapp et al., 1983 place the Javelina-Black Peaks contact in chron 26R)",60.7,62.2,59.2,0,mean,0,0,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),0,0,210,5000,2000,
"Ekart et al., 1999",Maastrichtian,69.1,72.1,66.0,328,mean,164,656,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),820,520,1120,5000,2000,
"Ekart et al., 1999",Maastrichtian,69.1,72.1,66.0,172,mean,86,344,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),430,130,730,5000,2000,
"Ekart et al., 1999",Maastrichtian,69.1,72.1,66.0,252,mean,126,504,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),630,330,930,5000,2000,
"Ekart et al., 1999",Campanian,77.9,83.6,72.1,1180,mean,590,2360,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2950,2340,3540,5000,2000,
"Ekart et al., 1999",Campanian,77.9,83.6,72.1,504,mean,252,1008,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1260,660,1860,5000,2000,
"Ekart et al., 1999",Aptian,119.7,126.3,113.0,904,mean,452,1808,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2260,1350,3300,5000,2000,
"Ekart et al., 1999",Aptian,119.7,126.3,113.0,1084,mean,542,2168,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2710,1350,3300,5000,2000,
"Ekart et al., 1999",Aptian,119.7,126.3,113.0,1076,mean,538,2152,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2690,1350,3300,5000,2000,
"Ekart et al., 1999",Aptian,119.7,126.3,113.0,592,mean,296,1184,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1480,1200,1800,5000,2000,
"Ekart et al., 1999",Kimmeridgian,154.7,157.3,152.1,1272,mean,636,2544,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3180,2280,3480,5000,2000,
"Ekart et al., 1999",Early Jurassic,187.7,201.3,174.1,1824,mean,912,3648,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),4560,3960,5160,5000,2000,
"Ekart et al., 1999",Aalenian,172.2,174.1,170.3,768,mean,384,1536,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1920,1320,2520,5000,2000,
"Ekart et al., 1999",Carnian-Nornian,223.3,237.0,209.5,660,mean,330,1320,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1650,900,3450,5000,2000,
"Ekart et al., 1999",Carnian-Nornian,223.3,237.0,209.5,732,mean,366,1464,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1830,900,3450,5000,2000,
"Ekart et al., 1999",Carnian-Nornian,223.3,237.0,209.5,1140,mean,570,2280,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2850,900,3450,5000,2000,
"Ekart et al., 1999",Anisian-Ladinian,242.1,247.1,237.0,244,mean,122,488,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),610,300,900,5000,2000,
"Ekart et al., 1999",Ochoan,259.4,259.8,259.0,400,mean,200,800,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1000,600,1500,5000,2000,
"Ekart et al., 1999",Wolfcampian,290.5,298.9,282.0,0,mean,0,0,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),0,0,300,5000,2000,
"Ekart et al., 1999",Late Pennsylvanian,303.0,307.0,298.9,608,mean,304,1216,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1520,900,2100,5000,2000,
"Ekart et al., 1999",Chadian-Arundian (equivalent to Radaevkian-Bobrikovian),344.8,347.0,342.5,824,mean,412,1648,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2060,1500,2550,5000,2000,
"Ekart et al., 1999",Middle Devonian,388.0,393.3,382.7,624,mean,312,1248,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1560,960,2160,5000,2000,
"Lee, 1999",Hauterivian to Barremian,130.1,133.9,126.3,1150,mean,575,2300,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2300,2200,2400,4000,2000,
"Lee & Hisada, 1999  (updated by Hong and Lee, 2012)",late Valanginian - early Albian,134.3,136.5,132.0,653,mean,327,1307,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2450,1700,3200,7500,2000,
"Driese et al., 2000",Famennian,365.6,372.2,358.9,1140,mean,570,2280,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2850,2100,3600,5000,2000,Sz not given in text; I assume that they used the same value as Mora et al. (1996)
"Driese et al., 2000",Famennian,365.6,372.2,358.9,1260,mean,630,2520,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3150,2400,3900,5000,2000,Sz not given in text; I assume that they used the same value as Mora et al. (1996)
"Driese et al., 2000",late Emsian,402.6,407.6,397.5,1320,mean,660,2640,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3300,2400,4200,5000,2000,Sz not given in text; I assume that they used the same value as Mora et al. (1996)
"Driese et al., 2000",Silurian-Devonian boundary,421.1,423.0,419.2,1440,mean,720,2880,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3600,2700,4500,5000,2000,Sz not given in text; I assume that they used the same value as Mora et al. (1996)
"Cox et al., 2001",Frasnian,377.5,382.7,372.2,1120,mean,560,2240,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2800,2300,3200,5000,2000,
"Cox et al., 2001",Givetian,385.2,387.7,382.7,1560,mean,780,3120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3900,2900,5200,5000,2000,
"Royer et al., 2001b",post-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,54.2,54.5,53.9,814,mean,407,1627,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2034,1434,2634,5000,2000,0.766
"Royer et al., 2001b",post-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,54.9,55.2,54.6,231,mean,115,462,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),577,177,977,5000,2000,
"Royer et al., 2001b",pre-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,56.2,56.5,55.9,461,mean,230,922,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1152,652,1652,5000,2000,
"Royer et al., 2001b",pre-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,56.5,56.8,56.2,487,mean,243,974,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1217,727,1717,5000,2000,
"Royer et al., 2001b",pre-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,56.7,57.0,56.4,579,mean,290,1158,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1448,948,1948,5000,2000,
"Royer et al., 2001b",pre-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,57.3,57.6,57.0,816,mean,408,1633,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2041,1441,2641,5000,2000,
"Royer et al., 2001b",pre-PETM; Wing et al. (2000) places base of PETM at 55.234 Ma (Age Model 2); all ages adjusted by +0.766 m.y.,57.7,58.0,57.4,474,mean,237,948,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),1185,685,1685,5000,2000,
"Tanner et al., 2001",Hettangian,200.3,201.3,199.3,992,mean,496,1984,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2480,1490,3470,5000,2000,
