Reference,Age_description,Age_Ma,Age_old,Age_young,CO2_ppm,type,CO2_low,CO2_high,CO2_range,Distribution,reported_CO2_ppm,reported_CO2_low,reported_CO2_high,reported_S_ppm,S_used,Notes
"Suchecki et al., 1988 (reported in Ekart et al., 1999)",McCoy Brook Formation (Lower Jurassic: Hettangian-Sinemurian),196.1,201.3,190.8,1204,mean,602,2408,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3010,2600,3550,5000,2000,
"Suchecki et al., 1988 (reported in Ekart et al., 1999)","New Haven Arkose (early to middle Nornian; also, nearby U-Pb date of 211.9 +/- 2.1 Ma; see Olsen et al., 2005)",211.9,214.0,209.8,1264,mean,632,2528,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),3160,1800,5400,5000,2000,
"Suchecki et al., 1988 (reported in Ekart et al., 1999)",Wolfville Formation (Carnian-Norian),223.3,237.0,209.5,800,mean,400,1600,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2000,1600,2400,5000,2000,
"Platt, 1989 (reported in Cerling, 1991)",Berriasian,142.2,145.0,139.4,560,mean,280,1120,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2100,1600,2600,7500,2000,
"Purvis & Wright, 1991 (reported in Ekart et al., 1999)",Anisian-Ladinian,242.1,247.1,237.0,284,mean,142,568,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),710,400,1000,5000,2000,
"Cerling, 1991","New Haven Arkose (early to middle Nornian; also, nearby U-Pb date of 211.9 +/- 2.1 Ma; see Olsen et al., 2005)",211.9,214.0,209.8,667,mean,333,1333,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),2500,2000,3000,7500,2000,
"Cerling, 1992",Pliocene,4.0,5.3,2.6,80,mean,40,160,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),300,0,1000,7500,2000,
"Cerling, 1992",late Miocene,8.4,11.4,5.3,133,mean,67,267,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),500,0,1000,7500,2000,
"Cerling, 1992",middle Miocene,13.7,16.0,11.4,133,mean,67,267,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),500,0,1000,7500,2000,
"Cerling, 1992",early Eocene (Willwood Formation); magnetostratigraphy by Tauxe et al. (1994) suggests 55-52 Ma,53.5,55.0,52.0,80,mean,40,160,"16 and 84 percentiles; uncertainty determined originally by varying only S(z); uncertainty calculated here by adopted the generalized, right-skewed errors of +100/-50% taken from the conservative, fully-propagated estimates of Breecker et al. (2013, p. 3218)",right skewed (mode < mean),300,0,1000,7500,2000,
