age (Ma),ice extent,total,within 10,within 15,within 20,decay36 total,decay36 within 10,decay36 within 15,decay36 within 20,decay120 total,decay120 within 10,decay120 within 15,decay120 within 20,decay36_burial50 total,decay36_burial50 within 10,decay36_burial50 within 15,decay36_burial50 within 20,decay120_burial50 total,decay120_burial50 within 10,decay120_burial50 within 15,decay120_burial50 within 20,decay36_burial100 total,decay36_burial100 within 10,decay36_burial100 within 15,decay36_burial100 within 20,decay120_burial100 total,decay120_burial100 within 10,decay120_burial100 within 15,decay120_burial100 within 20
310,40.0,10966748.34850797,1765288.7606651536,3038747.3246604316,4616481.254478953,2113994.8000038224,513690.5085235968,844925.096309245,1255136.3114186225,6863259.791300691,1404717.2903700606,2360499.1069139484,3504132.9521900485,2112805.9614014872,512501.66992126167,843736.2577069099,1253947.4728162875,6836285.4590817755,1377742.9581511456,2333524.7746950337,3477158.619971134,2111617.122799152,511312.8313189264,842547.4191045746,1252758.634213952,6809311.12686286,1350768.6259322306,2306550.4424761184,3450184.2877522185
305,50.0,10871836.634826662,1275006.8779996173,2390350.4070779905,3842277.7783987382,1919224.0001808594,350867.2347279665,614217.3308307644,957133.355914372,6640952.1922656875,1047538.3499454206,1833866.2597216826,2863613.3918332,1918145.448042119,349788.68258922605,613138.778692024,956054.8037756316,6614768.690153571,1021354.8478333051,1807682.7576095671,2837429.889721085,1917066.8959033785,348710.13045048557,612060.2265532834,954976.2516368912,6588585.188041456,995171.34572119,1781499.2554974519,2811246.3876089696
300,50.0,10886797.220828433,837566.9503940714,1863508.3601217936,3145927.8851729427,1740785.0014318372,224767.12030642648,444811.40862554614,719887.2274453745,6456745.735175477,741714.0091490829,1425429.5758018927,2302373.8053627578,1739804.8439696413,223844.27442817582,443831.25116335065,718907.069983179,6431284.059804181,717698.8795062178,1399967.9004305967,2276912.1299914615,1738824.6865074458,222921.42854992516,442851.09370115516,717926.9125209835,6405822.384432885,693683.7498633524,1374506.2250593007,2251450.4546201658
295,30.0,10784290.411627486,697149.9766392374,1701493.4880922525,2931396.6641047015,1579628.1469575223,176704.67627962102,372458.2143622098,612021.3238284802,6244991.7853957545,630614.204891599,1286027.1551231467,2095487.0667908785,1578738.4918745998,175921.41217349557,371568.55927928747,611131.6687455579,6220282.227574404,608851.0508190641,1261317.597301797,2070777.5089695288,1577848.8367916774,175138.1480673701,370678.904196365,610242.0136626353,6195572.669753055,587087.8967465293,1236608.0394804473,2046067.9511481791
290,20.0,11392168.989311371,577773.207012054,1535134.4382132785,2717951.436449351,1790210.3186366144,139238.09459382854,308846.06285075657,518057.6746924951,6483172.609855128,534964.6321272661,1149418.7172717685,1896748.7849849565,1789402.3174124912,138589.7690898098,308038.0616266335,517249.673468372,6459157.691069558,515773.98893201345,1125403.7984861983,1872733.8661993863,1788594.316188368,137941.44358579107,307230.06040251034,516441.67224424885,6435142.772283987,496583.3457367607,1101388.8797006279,1848718.9474138161
285,20.0,11259456.167418607,514601.5939721262,1428556.3262249574,2581301.7018281315,1626756.523497053,116249.8832571008,263407.77705611277,448564.25878976285,6266758.465061864,481258.23389569536,1056618.6934129726,1757376.9581023504,1626022.682033855,115704.12216409354,262673.9355929148,447830.4173265649,6243432.9032497,464065.9671974896,1033293.1316008071,1734051.396290185,1625288.840570657,115158.36107108631,261940.094129717,447096.5758633671,6220107.3414375335,446873.70049928396,1009967.5697886415,1710725.8344780193
280,20.0,11342738.374961272,458341.09883208526,1323038.809424075,2450688.8419801006,1579270.027412877,97190.86512480034,223749.64867849718,388230.29673757806,6185047.601818314,434300.42898164026,968593.8174238824,1627315.3587280635,1578603.5391595159,96741.03551223618,223083.16042513624,387563.80848421715,6162388.837390337,419250.63954876945,945935.0529959055,1604656.5943000866,1577937.0509061548,96291.20589967203,222416.67217177525,386897.32023085613,6139730.07296236,404200.8501158988,923276.2885679286,1581997.8298721097
275,10.0,11205582.529684067,420362.9509130518,716342.4555107907,1721690.7441648715,1434632.830585952,83220.75702722244,122925.37105427482,256092.46125574515,5981313.619468695,402618.22237834346,609841.78025417,1172856.1438322011,1434026.089691918,82835.52144510737,122318.63031073779,255485.72036171134,5959220.983316388,389145.450196064,587760.6053090622,1150763.5076798946,1433419.3487978843,82450.2858629923,121711.88956720078,254878.97946767753,5937128.347164081,375672.67801378464,565679.4303639545,1128670.8715275882
270,10.0,11145160.627527006,417709.41528135544,420369.1684384432,1071874.6185794775,1302678.683083388,74891.79375796256,76043.91324919401,154421.61246364494,5790257.6345149325,382458.13025440363,434176.94922937977,790940.3600296802,1302126.892073801,74562.53873621707,75492.12351134338,153869.82145405782,5768760.6802809555,370336.2446292623,412783.59673230845,769443.4057957038,1301575.1010642138,74233.28371447157,74940.33377349273,153318.0304444707,5747263.726046979,358214.359004121,391390.2442352372,747946.4515617273
265,10.0,11261616.839834113,165360.88587712994,420369.168438191,539718.4536247632,1185305.6718282364,27235.00359929461,69027.81050603942,82102.64949486715,5658925.5589366555,213248.63221054437,415088.2239898528,489754.09604437073,1184805.9519632524,26978.134215066002,68528.09603366959,81602.92962988299,5638109.0908377115,203364.9535197188,394741.68902633863,468937.6279454268,1184306.232098268,26721.264830837383,68028.38156129976,81103.20976489881,5617292.622738767,193481.27482889328,374395.15406282444,448121.15984648286
260,10.0,11341319.865331763,5385.648254116344,412753.4457372318,486955.0782219325,1074475.2398302958,1217.7505404133376,61443.9814176725,105284.68950719447,5506694.168302453,105627.39076415176,385379.7212123876,470975.50791277643,1074021.7644787813,1037.8617931653912,61015.42899602883,104831.21423263708,5486500.390510316,98304.57210091109,367227.8938709408,450788.90396438655,1073568.289127267,857.9730459174449,60586.87657438517,104377.73895807969,5466306.612718179,90981.75343767041,349076.066529494,430602.3000159967
255,0.0,12052255.937454687,704575.9608239094,1171290.962838381,1190081.1808221196,1627708.5272875887,652099.0068283471,744488.9505601012,747165.1256010924,6037958.443888343,786469.2948759603,1110040.8139889059,1142210.2402213025,1627295.3575290972,651948.2296819162,744107.9982235552,746751.9560504314,6018275.832812587,779903.6618161836,1092832.633788403,1122548.3533866324,1626882.1877706063,651797.4525354853,743727.045887009,746338.7864997701,5998593.221736829,773338.028756407,1075624.4535879001,1102886.4665519625
