lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,0.0,0.0,107296.4670361895,112610.75057316656,131234.05321864365,155877.35193058205,172452.7444840963,2820143.127586254,2912795.5341569977,2861135.6485839807,2823038.446946544,2756244.658560986,2479575.4601582573,2053357.8123399082,1258051.0462483962,661766.2583166237,319098.4188790083,221993.03521003653,214187.80008393095,224051.37091795256,222937.0400213112,591199.0124084592,1707054.7194581968,2269961.0950295012,2191400.5409556367,1279624.2829104613,526770.4073537919,10139.715246781094,0.0,0.0,0.0,0.0,0.0,3083234.9959087167,3195195.5600689333,3246789.0740633113,3304749.0262311385,3289355.0027727317,3281807.9183563935,3262832.6026660805,3147698.9591792906,2936474.8740979247,2416369.734323472,1769106.369643012,2085585.3595915986,2478999.287586543,1438203.4881142685,511290.0639922592,456923.3276159343,420369.1684380468,420369.1684380288,420369.1684380287,406747.96902893303,350775.64609118126,104896.40132570818,1876.3594909313153,0.0,0.0,647585.4619672212,692573.4248128333,273025.02803438914,51077.603237665484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2313897.8902016687,2529935.962819783,2956188.3877323624,2047618.383263542,3030253.2804274303,2157750.776345687,2884570.999921596,2267874.0439830124,3017518.9413401512,3077767.116044818,3140273.9908071808,3252170.0005901074,3341365.735845469,3302928.9502701885,2743883.146587729,3440794.901204322,3529038.339938636,2756965.0879943287,2708376.739477847,3034399.013805111,2663436.459446742,2590038.2368199048,2822551.468011643,2767071.6956961397,2748069.1080199243,2715101.1723607024,2668030.6151064197,2583815.7026106827,2454155.9548360566,2384707.3234722163,829151.2754403447,947546.5648677542,714147.4869375874,617471.1062620636,1067967.460285821,910979.1145058369,763832.634309325,553350.5890458075,333989.8369476604,151654.87503331836,150935.14971790535
10,7,5,2904.8939550203813,0.0,73874.37839649369,68148.50695301495,49525.20430755589,24881.90559556341,8306.513042571889,771077.7917819447,715681.553135687,746964.3505925162,776850.7878255832,878066.5439796543,1204737.3531494858,1680474.317452583,1764907.9710376784,1238958.8129866961,767032.1674577704,417841.73956412607,356550.7515061501,350319.06727722357,1084683.3185892056,1570368.8489883605,1227062.2346164286,1232201.668091021,1079103.3262593974,1148960.5812949492,1087241.3693575507,853980.1664763996,516393.83291705267,288896.0991799394,320723.0333477937,406110.0020596004,379156.91951616737,2174568.0523098484,1941054.5431023128,1889593.6122630243,1906583.5538420556,1945627.5334406416,2037349.4429537938,2107880.8999727736,2280885.6951258983,2204201.8106751856,1926813.2036361701,1673095.259454106,1805083.5729108,2110882.58429351,1344252.4842589695,1253998.6966728943,818083.5503836828,417197.7819560245,276780.80820120854,157404.03857402538,107853.62494319324,107565.452740904,315466.5495873436,415833.05579042423,165360.88587712994,5385.648254116344,55230.61314254777,73783.82914010306,487270.34729613765,212988.1125931208,26935.775385769786,39013.03841402789,0.6431945002628701,0.0,0.0,0.0,0.0,2827573.380836074,2797209.4456656966,2503130.468278955,2524688.351642068,2580464.7754605645,2652544.0632469044,2631692.2121802373,2641403.073408531,2691307.9313446656,2717713.7283281693,2695998.90234336,2862018.6033747382,2925043.814244233,2901426.7605272583,3386639.869227736,3327305.7901964122,3173568.765738484,3216223.5444844225,3279002.939555971,3223432.3026780766,2774762.814242932,2540673.322808563,2570539.812920631,2569287.1490283087,2564698.3483941252,2429347.7307347544,2409924.1084312163,2404805.0094733816,2352469.2033988843,2008477.002828958,492609.74193580745,612882.566107981,867935.9737687146,651237.5556110933,1079014.4192180254,1035703.569567905,765185.0468768019,1178126.2277129525,1303941.9186253485,1418652.3602930328,1303583.6899370884
15,12,10,144800.16457858644,124919.44761999685,93072.61422751029,59107.97033722341,29507.31085725629,11919.088076691934,5984.022345127131,129793.21549980322,111155.92140266173,154184.46944835712,213780.91430421153,265528.82826321083,205457.0513469608,201169.29539714757,808347.4911437819,1620662.5129877233,1641190.101681618,1210171.5392049537,1267607.3910638033,1391028.8156361436,1417470.3207740742,1152432.2159661641,939485.7568443788,147153.18451934648,247040.93388950435,809689.3185351568,1177067.356730097,1033929.28608138,1050582.7500752304,1071321.8857082136,998456.8547652835,990508.7123116371,992409.8592896449,1897780.307267033,1670933.901303263,1385944.114648975,1217824.1109923571,653288.3333399342,591272.9488099401,557320.6286120954,487571.5466771861,750083.9308637566,1328407.7574144127,1530862.6884493404,1400565.1963390927,1059440.2369896069,2027029.4263619033,1273458.563995278,1115343.5290783732,1025941.4097277223,1004343.511453015,957361.2312012244,913954.7322528311,864697.7105919898,295979.50459773897,2659.7531570877813,255008.28256106103,407367.7974831155,466715.0020144718,381980.04421553266,405415.96830968966,885549.9580593288,689471.8772209564,369621.18503807095,306075.41024062404,145028.01744947545,3269.9357880738507,38542.50218267898,44364.69316112328,2628673.5064082993,2471271.0589882666,2229814.2579453485,2119404.8091022368,1923012.7752858098,2216544.5862078383,2544943.777089595,2371946.53990145,2240321.50739449,2178401.621211062,2158746.1298363497,1815120.2389158597,1873312.3862967119,1969094.6221618704,1994846.2679875798,1758463.8167608806,1613603.3621526514,1601828.457809165,1632807.7910938635,2060154.904228657,2760317.6681865193,3020088.658928818,3167409.157210601,3170838.1767800734,3179492.6201819163,3290879.26226146,3257155.992178224,3148023.361147902,3157698.1654344276,3320975.0713935057,460702.2550860298,424500.2082504394,610060.4278261745,1055902.2830809308,1486689.2970495853,1562850.4959986538,1491281.4846015417,1390893.095158178,1233608.7571786323,1086291.494938443,1028559.2124828937
20,17,15,38577.746695491005,59724.046846169724,81085.58312249847,114569.53887909306,144395.93995325436,159268.52414410506,151224.7701651223,139194.13242709084,154605.41377017117,135562.04818692963,92681.0688517886,95718.7595870008,5463.947397935523,55168.019430495886,0.0,367589.700686681,967870.4559670854,1478790.7474672047,1404923.5923228539,1327422.6486411444,924038.2969946618,590408.8817228832,44356.49180570696,0.0,129667.13991427048,246524.47184523655,542156.4494240931,1061498.7779867093,1218779.551032556,1201351.0425202206,1262888.6702259849,1325330.246450911,1329777.198156142,1527131.2072960916,1430125.167717822,1271158.1541099495,1110487.1727056724,41368.62343978766,5725.890862248195,0.0,0.0,25395.58534541801,237459.3173470499,1131883.3243786215,914524.5595451135,589734.226207138,1110878.931377261,1577733.9298185217,1451927.3713207475,1282419.5250511488,1229903.176012449,1182816.998236072,1152745.3756031739,1127650.0325560258,1005348.288654081,651505.4501410344,119349.28518657219,74201.63248470068,18790.217983738556,35192.5365520573,22203.94922793975,40505.21312075424,447694.0690055399,310507.3393287026,122837.51232112867,310096.37950091844,364363.77917446144,5822.190978516406,0.0,1980239.5578916152,1800149.780481087,1610912.0452026404,1677404.6916355304,1720596.8368846283,1927775.6707671725,1855893.5917698157,1964053.434514311,1767063.657954907,1591180.71335775,1503565.8836837937,1378033.5597223113,1309967.9470052908,1919547.630091913,1896013.5412863404,1960103.0879414575,2046137.7186374338,1952112.5823448617,1890733.8183840397,1637458.5849623275,1705885.1089285775,1693687.63258436,1814819.8280034082,1824367.9725409974,1935902.6551014958,2005011.8456760254,2079401.6667042673,2202122.319787791,2888814.036381334,2682220.0632216516,647888.455074379,485878.5165041352,290339.64518514526,230853.8665062527,808906.4610840154,856398.1063493557,990522.639384299,1412265.0665037567,1387067.8932433636,1620124.163760731,1876138.486757941
25,22,20,81678.6549731241,83892.13895471285,46832.53572857303,8952.205740371128,8952.205740371128,12882.114204220883,26405.089052069066,42595.080855862114,21302.60475477294,72252.2979951239,78791.05614215972,0.0,0.0,0.0,9574.474352411733,100433.33224388013,48602.22449475222,461419.1458983574,537408.2004820659,513327.0044278012,270911.46034417447,31157.282902159994,0.0,0.0,7753.238731194812,147505.8501999384,149547.4714402376,423100.2548569771,558357.1792007455,781526.3519212829,799357.4828294588,736192.2772537248,801097.8478473828,774693.0374088057,1131557.9970255662,1372624.2600298189,1355087.669271802,0.0,0.0,0.0,0.0,140685.34051686153,393339.61794333515,236792.32845540048,131741.4994927085,103410.35401484772,415617.75673332525,1156242.5156796605,1459289.5269229342,1509769.1499565186,1488073.0002218361,1463919.7098213397,1458053.2365945082,1422743.6738937288,1248392.9563838656,1079941.2227148141,969213.2824595706,458464.7264256912,402074.65574098314,347387.49057156686,148884.8993649287,32669.27056658129,24521.18269948914,433514.97779043793,223515.64212322742,13273.6650235091,99539.6756665791,0.0,0.0,936320.9697232074,890477.2782964756,1025954.907674575,1028802.6930524664,1150586.6267106258,800742.7047277131,610918.3121799221,611186.0291241696,761025.2725559447,793017.6800244387,708459.9085026477,437626.25212716823,591794.694041236,1286582.614138878,1335038.8937205318,1550683.8187888255,1756583.6651086044,1784454.555165419,1836430.362253902,1558342.3872192102,1264499.4874539091,1155478.8666573437,946243.9075630433,851791.4842249126,864688.3080234465,848977.122336345,848500.0615422135,1404409.0231000914,1222547.175547655,1195271.9694207115,46128.498413394096,101662.35190379739,463057.2518515031,744700.9326563348,1315832.5032419735,1630868.9444139604,1952179.8433739669,2302308.0860084337,2380000.0938563705,2711738.15968525,2875607.266436473
30,27,25,0.0,0.0,47368.33092180257,83892.13895478495,83892.13895456865,83892.13895435234,83892.13895492916,83892.13895485706,75851.53544287111,20975.66969378025,0.0,0.0,0.0,0.0,0.0,0.0,35958.01498132915,122784.44932137128,132136.89318166388,114236.12853239925,11.120627378060137,0.0,0.0,0.0,0.0,24636.401918822034,114635.23405775134,121348.12624637339,193122.92726728803,215521.29406091545,174656.9754788757,97465.28532525679,53164.69859157693,10870.190973224413,36013.81363723932,579495.8923250753,828466.4816768399,132034.90629126425,240051.5571386598,460789.6911174378,595239.0773297716,465452.5357427315,27029.55049478373,0.0,0.0,0.0,719.6790674941993,535331.9856276861,792827.5285614659,1104225.8045505825,1223277.9691832466,1317148.9945104083,1369191.1120024472,1406179.3742804846,1496416.1788973266,1405302.1026548522,1244634.8093128696,1052631.4671481308,1041132.9413616224,1029754.7728320245,964953.5217086214,852727.2544260453,559107.269797126,15414.548240353517,454777.11067168316,231430.69746949096,52772.576847459655,3524.9488295245924,1010.2070795518601,618169.6211439399,486258.363829467,524908.379637357,471085.71578444896,478102.215265651,711221.2596061325,811890.7558115013,887884.1135272742,884387.5905598877,857291.2898950867,834991.7043517565,1170206.926963327,971888.6315961521,1648950.035391549,1595707.0947818495,1529722.850986767,1564214.5995418648,1372704.255874361,1343085.4732216964,974631.7324717289,1071484.2455832292,1138794.2315666468,1185571.8261386529,1158663.0305348625,1148082.3627302106,1131941.6549557624,1119564.004156731,1455077.9224404893,1291711.051247842,1212039.5094687014,805622.5007787469,1427988.1369825837,2183676.554207919,2483239.6559422445,2336711.5298378086,2395844.8249680796,2403711.255888014,2206380.0051957164,1973537.0818981132,1941081.350619484,1943966.069301729
35,32,30,14511.174416588981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83915.14113013286,65356.32989597756,20098.895129421147,18587.504129843168,43.3161139913728,0.0,0.0,0.0,0.0,653334.9919470022,570674.5674060027,855785.9245130493,888761.9590680897,733218.5375865173,575011.3469008959,552606.4172973713,218892.89337245197,0.0,0.0,0.0,0.0,38034.12835864358,260572.2963124835,534427.6793565383,602259.0991602684,851126.19372674,925580.213765038,975405.2258746895,1233620.2507889979,1553799.6781989636,1520619.0970660613,1375404.2206716803,1357524.2929872326,1339836.5054291505,1283908.9939540501,1188466.72098989,1077507.395320643,40398.49904960757,128931.34390212342,518749.3041454447,495519.199516837,419771.5518381194,416522.17172260507,652318.5868822299,751442.0105795548,1011132.1281600605,1058824.7314726524,1979843.6289209677,902738.861812715,1147070.588272391,1316790.7453938082,1265951.2743629408,1694228.14380841,1759833.6656692286,1777322.5081303609,1703422.3343712408,2234975.2475765618,2229932.643690211,1567519.9964016792,1424010.468276314,1450171.3868206553,1304969.1802551416,1362630.4399742763,1737041.3414063482,1780021.171007103,1853742.0376039739,1851689.9362193872,1838176.4440858937,1860167.068188107,1921171.4199867193,2228890.828105678,2228899.084976521,2525352.073774177,2454390.5282224594,2616328.262104839,2343606.269344451,2196077.7399001014,1829969.234365903,1784175.1427080825,1639771.096684259,1489100.3080377749,1355280.4666165758,1187583.9717857926,1067887.763242147
40,37,35,22363.65402298986,14511.174416805288,14511.17441687739,14511.174416372676,14511.174416661084,17473.430554248633,14511.174416733185,14511.174416444777,10905.725076933097,0.0,0.0,0.0,0.0,0.0,15448.768579199732,74136.86206642685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79199.57293231822,82870.5474922012,26234.258105987195,37640.325266513166,50350.87395247041,0.0,0.0,0.0,138895.42340597714,353306.3087807121,575404.4011030674,450243.01701064256,383199.6909908401,401444.15735000576,402380.5197745955,542743.593199571,271834.88562646514,221040.98087420792,243658.63723883158,0.0,0.0,57947.947751531116,42174.85038398439,101027.27196294788,341691.34327531746,374104.184231575,438289.5806144477,836752.9956646656,1063286.014530908,1398294.2409448454,1578728.4398480067,1567314.713587776,1565706.5591122336,1590070.4895686652,1649817.7358697506,1692956.6418983764,281072.8853042328,291169.211409939,342888.37883342785,496439.048732014,616498.1453899078,630496.9739633118,589069.1240124967,547460.7214875224,402280.95882352523,300574.76491502696,1302176.0192889522,1373080.6345484247,1150541.5736431568,1106180.9385708678,1474524.8223910814,1590904.7471263,1292108.945890879,1648907.2556649689,1894039.4430164103,2179383.6757743666,2209605.2062663008,2229167.976020557,2098746.401785595,1934783.4809360085,1951718.562162863,1748533.7042603847,1979673.1279262216,1976795.7957605384,2307645.500802087,2419549.8073249394,2456964.162152456,2411953.8271097746,2487233.713331059,2682854.9009486027,2717004.204114275,2780487.9953421415,2236639.6132795536,1983250.2401241236,1734245.503504831,1536961.3964002936,768559.5749049088,691308.4752633122,571521.7969728602,496771.3113098451,402337.46746409754,315044.67971222254,229790.9660616633
45,42,40,36727.54528187279,44782.799059221536,33250.79521238895,39480.58640927304,46073.324824884054,50659.42338647912,50496.90248829533,39967.96851022025,34627.290541698334,32679.41189411898,23393.732486272875,21722.65115888903,59851.35332185934,74136.86206651699,58688.09348767776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59454.99231481149,0.0,0.0,46820.53963672858,84505.01415565485,80892.13504262855,80904.92743041512,80162.79111667846,0.0,0.0,0.0,0.0,0.0,23484.242963995788,11374.931719073516,5475.874398792686,11498.288501062592,21949.906847892045,391958.75146938383,550231.5656273783,533343.7309901961,540253.1213014874,136015.81852258265,0.0,274897.2545528693,160108.80343938767,129172.49494804145,97648.7330433815,79911.62053881703,63742.45577115835,314262.87294020667,723246.8718691373,980041.8045004167,1239040.1479748301,1305265.413873984,1388785.1863207996,1513791.0520906067,1615142.2818901148,1777608.7966689323,250794.07069565545,245934.04662850677,235376.1122646791,281108.71830656123,291767.1226951401,292912.8083208942,211535.82505231208,238353.27902274183,272699.85113205784,236600.62527240117,1077557.4008979364,1106682.1890843618,1222483.553906877,1321292.685167385,1416619.4242380417,1664564.3153897286,2074380.3544879146,1425035.081459336,1398936.8567936784,1494162.566980033,1506931.221124753,1551641.95352476,1807616.6289929028,1917016.8029757882,1835262.6678981297,2062761.7027149498,1890865.2981077195,1955995.6884371617,2160965.896568971,2154295.7748462707,2190329.6997376117,2196295.052683986,2222514.1645589434,2160760.667032921,2250773.715601529,2003916.815010606,1644344.4885437374,1275961.8347350606,762597.6509165948,507137.2708342748,270935.7318757131,154788.5384368588,107787.58794609345,476133.8664574886,472903.8038306759,497787.45623618935,522476.94767388003
50,47,45,32423.75266347005,14842.88859043608,26633.668614871895,20145.101240528784,13552.36282471949,6779.268768824517,9128.785161488468,19858.66488679162,29048.617279918588,41500.044305504875,50828.17014825953,52414.21090780821,16612.712346170498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29546.64244707077,2835.4632339634763,0.0,0.0,0.0,12909.44024476625,73632.86437776404,62214.00482952359,50245.59245726696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8516.609693815964,341428.9815338443,402386.63197698887,375507.99826933444,534258.9333133253,39807.95292512811,364104.72939100466,349542.4500977996,329364.2912301878,304903.8881155017,287897.13518727414,370244.3894203465,281195.1209909126,263034.66096637514,487777.6397148813,875876.5922813985,882440.7494940172,1212870.8679202457,1309616.0727906614,1391875.6688406882,1360814.596907533,226268.53890064283,176875.02121227517,166279.47269338983,164973.08749931914,163628.83005491382,159369.1231968109,155076.96381361515,179559.41757442857,204637.57773714504,236062.3645496137,658032.9695421681,1067048.7292795887,1435947.4784298725,1340351.357743041,1183073.1235179629,891169.5688350595,853285.7301945427,1269596.9327700704,964631.1922117384,1011385.3130912004,926269.1858401224,906001.5463292025,899959.6571048789,909893.8577960633,962688.3821541334,1237717.1602983915,1268708.7623448698,1288648.6960969905,1381286.0185194416,1504017.46712548,1591695.9932846257,1617086.5970842654,1569483.1018243006,1438519.945742672,1397036.5007753875,1045173.6479424397,698206.9677723307,415423.49434206286,341028.711805698,349168.32493045763,230043.99387678213,199819.23724015773,176414.07819584376,363465.69122611603,329911.354622509,278477.15290222137,219551.00026626565
