age (Ma),natural decay total,natural decay within 15,natural decay outside 15,burial total,burial within 15,burial outside 15
520,266386.5827789661,135287.26285321484,131099.31992575125,134479.3126403868,3379.9927146355726,131099.31992575125
515,244441.6917996676,120321.00717288993,124120.68462677764,125684.99010020214,1564.305473424501,124120.68462677764
510,3682143.9282821286,3575339.4666664666,106804.46161566133,3575226.7418096056,3468422.2801939435,106804.46161566133
505,3317493.9775220766,3229607.75991922,87886.21760285577,3221114.899118515,3133228.6815156587,87886.21760285577
500,2986510.245312151,2918394.3431975213,68115.90211462954,2899848.7235388886,2831732.821424259,68115.90211462954
495,2685238.429368517,2640540.4700639285,44697.95930458912,2607037.7892721663,2562339.829967578,44697.95930458912
490,2423270.3312916826,2397849.728222548,25420.603069133904,2353026.9999448485,2327606.396875714,25420.603069133904
485,2124178.812405523,2105120.8922525356,19057.920152987685,2060938.428927515,2041880.508774527,19057.920152987685
480,1961776.9607943464,1918827.1557639441,42949.80503040224,1904816.9750854145,1861867.1700550122,42949.80503040224
475,1696468.9045070442,1679173.6658718903,17295.238635154023,1645016.5917970678,1627721.3531619138,17295.238635154023
470,1589604.783034524,1380272.1084418527,209332.67459267136,1543455.742253573,1334123.0676609017,209332.67459267136
465,1383751.5119624075,972880.0855400099,410871.42642239755,1342046.2288112887,931174.802388891,410871.42642239755
460,1291370.8760688049,575285.6436197098,716085.2324490952,1253852.1057206402,537766.873271545,716085.2324490952
455,1162544.122747766,511430.4436988149,651113.6790489516,1128807.7926083468,477694.11355939554,651113.6790489516
450,1062119.7512326287,505605.13710965833,556514.6141229703,1031660.9154407958,475146.30131782556,556514.6141229703
445,955934.5735340416,644005.4713486166,311929.10218542506,928637.9046595439,616708.8024741188,311929.10218542506
440,864417.6458918202,712673.1822058484,151744.4636859718,839842.3335568655,688097.8698708937,151744.4636859718
435,774328.3979766066,758778.3276153647,15550.070361241906,752203.1350319127,736653.0646706708,15550.070361241906
430,681662.9792809963,664706.0284505736,16956.950830422596,661743.5066941464,644786.5558637237,16956.950830422596
425,614927.8248130833,581321.4690472869,33606.355765796376,596942.7824600103,572465.5696701157,24477.212789894606
420,553788.5627547926,486970.20259292825,66818.36016186436,537628.7791168705,486970.20259292825,50658.57652394228
415,501731.39792437025,378793.66567445174,122937.73224991857,487173.5936165083,378793.66567445174,108379.92794205662
410,453418.54094651726,233688.6384320932,219729.90251442397,440331.68223523564,233688.6384320932,206643.04380314238
405,412828.68002836505,174502.98109949892,238325.698928866,401023.19030616095,174502.98109949892,226520.209206662
400,373527.88671703555,136812.64467727323,236715.24203976238,362920.3583245495,136812.64467727323,226107.71364727625
395,334726.43113377295,115919.16552638094,218807.26560739195,325176.4261662794,115919.16552638094,209257.26063989842
390,301037.84741573664,110069.03898250511,190968.80843323146,292439.93548898643,110069.03898250511,182370.8965064814
385,271152.2277514997,97397.81682352348,173754.41092797622,263407.3486608387,97397.81682352348,166009.5318373152
380,6156393.54710526,5841366.835641999,315026.7114632612,6149424.5259756455,5841366.835641999,308057.6903336463
375,5531825.389069639,5268083.784881385,263741.6041882558,5525551.148365898,5268083.784881385,257467.3634845143
370,6047589.694079426,4764961.792844577,1282627.9012348491,6041940.967281733,4764961.792844577,1276979.1744371552
365,5465199.435324771,4324007.678329945,1141191.7569948258,5460113.861477407,4324007.678329945,1136106.1831474612
360,5332260.415567739,3890425.309131866,1441835.1064358747,5327681.850825053,3890425.309131866,1437256.5416931878
355,4797345.110096524,3501836.8990512993,1295508.2110452252,4793223.007904686,3501836.8990512993,1291386.1088533876
350,4310773.705103697,3157028.0363475434,1153745.6687561537,4307055.243770522,3157028.0363475434,1150027.2074229787
345,3882725.6462975163,2836641.704644698,1046083.9416528179,3879384.4842202524,2836641.704644698,1042742.7795755537
340,3494487.7734042057,2542879.5512599777,951608.2221442267,3491479.7103329194,2542879.5512599777,948600.1590729407
335,3143294.1901998864,2204419.209072584,938874.9811273025,3140577.4715905706,2204195.9891545568,936381.4824360138
330,2836231.2473337096,1740963.5772405958,1095267.6700931133,2833780.003853825,1740144.735020103,1093635.2688337213
325,2550549.6978542996,1668092.0045889835,882457.6932653163,2548354.593749712,1666901.2376831374,881453.3560665752
320,2295325.72647253,1603855.8502882672,691469.8761842623,2293349.464488841,1602304.6794973067,691044.784991534
315,2067528.4536316406,1286643.9441681057,780884.5094635347,2065747.2742392828,1284862.764775748,780884.5094635347
310,1863801.6931111454,751643.4507902815,1112158.2423208638,1862198.0955685428,750039.8532476791,1112158.2423208638
305,2432155.037947688,542527.4737662338,1889627.5641814545,2430712.8804232823,541085.3162418284,1889627.5641814545
300,2185244.970042507,390234.2579069417,1795010.7121355657,2183945.7986261006,388935.0864905354,1795010.7121355657
295,1967450.679555248,324164.6624450331,1643286.017110215,1966281.7415217557,322995.7244115408,1643286.017110215
290,2125763.300889654,266713.42213218973,1859049.8787574642,2124710.9007815896,265661.02202412527,1859049.8787574642
285,1915569.3813248381,225645.8471469357,1689923.5341779024,1914621.9008291087,224698.3666512063,1689923.5341779024
280,1825462.963996356,190143.25368549238,1635319.7103108638,1824609.9430940277,189290.2327831642,1635319.7103108638
275,1644297.9310408125,104388.98531837287,1539908.9457224396,1643528.1462930308,103619.20057059091,1539908.9457224396
270,1481085.454495798,64617.788896548365,1416467.6655992495,1480391.4860442302,63923.820444980396,1416467.6655992495
265,1333875.6543953011,58155.73066953837,1275719.9237257629,1333252.6502623372,57532.72653657435,1275719.9237257629
260,1199581.0260300916,51346.51604050537,1148234.509989586,1199020.6013512823,50816.8798455741,1148203.721505708
255,1725846.9237087818,727168.0393604765,998678.8843483053,1725340.75977493,726701.3326345518,998639.4271403783
250,4875242.278279827,651189.8074850168,4224052.47079481,4874786.635188741,650778.2574921672,4224008.377696574
245,4380505.115247839,587949.8537992857,3792555.261448552,4380096.150913113,587540.8894645589,3792555.261448552
240,3947482.3029644666,512540.615546834,3434941.6874176324,3947112.1914484873,512170.50403085444,3434941.6874176324
235,3555143.043266132,217133.01275067366,3338010.030515459,3554810.5276969927,216800.4971815342,3338010.030515459
230,3212381.970171602,27366.942671425684,3185015.0275001763,3212083.5325163673,27068.505016191128,3185015.0275001763
