LIP_Ids,LIP_names,lon_550,lon_545,lon_540,lon_535,lon_530,lon_525,lon_520,lon_515,lon_510,lon_505,lon_500,lon_495,lon_490,lon_485,lon_480,lon_475,lon_470,lon_465,lon_460,lon_455,lon_450,lon_445,lon_440,lon_435,lon_430,lon_425,lon_420,lon_415,lon_410,lon_405,lon_400,lon_395,lon_390,lon_385,lon_380,lon_375,lon_370,lon_365,lon_360,lon_355,lon_350,lon_345,lon_340,lon_335,lon_330,lon_325,lon_320,lon_315,lon_310,lon_305,lon_300,lon_295,lon_290,lon_285,lon_280,lon_275,lon_270,lon_265,lon_260,lon_255,lon_250,lon_245,lon_240,lon_235,lon_230,lon_225,lon_220,lon_215,lon_210,lon_205,lon_200,lon_195,lon_190,lon_185,lon_180,lon_175,lon_170,lon_165,lon_160,lon_155,lon_150,lon_145,lon_140,lon_135,lon_130,lon_125,lon_120,lon_115,lon_110,lon_105,lon_100,lon_95,lon_90,lon_85,lon_80,lon_75,lon_70,lon_65,lon_60,lon_55,lon_50,lon_45,lon_40,lon_35,lon_30,lon_25,lon_20,lon_15,lon_10,lon_5,lon_0
GPlates-1a4bf140-1461-4deb-b824-76f01092fa1e,HALIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.162118609385448,-9.147525449851914,-9.435031794456636,-10.012911355015238,-11.846408180559688,-14.99306075415916,-15.298139039057574,-17.39023377582361,-21.1480603205543,-28.987901780434843,-37.354525356020815,-45.06219675089463,-47.63159422793344,-49.89791021554592,-50.522816885811544,-53.12901090235975,-57.50099354657358,-62.42947540879161,-69.22105670164463,-77.31415010108908
GPlates-5f5275a3-1cb9-45f8-a80d-2069b723af96,HALIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.493434473682481,3.94871099735654,3.2649905160344854,2.3774333711395137,0.3500542249941603,-2.7687327789261102,-3.0776923697271616,-4.941033702604526,-7.509041736984381,-10.9623372699455,-17.628772453531113,-24.46821215451738,-25.732753509963853,-26.685090352266464,-25.966795906845352,-27.442680253983205,-29.971519551455945,-33.090471921241345,-37.0453050462095,-42.788811609712575
GPlates-594aa134-0b90-4427-859d-e05f8a36fca4,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.573071837444054,55.78275822556093,58.33030242105598,60.99392934624457,62.085931393613514,63.26040008085214,64.69592446348382,66.01621238630062,66.95168698471723,67.89094661531963,69.31796941790377,70.55928503214977,71.72520298388002,73.17287411229182
GPlates-e74f75c1-b079-4970-ab19-bf2248a85de5,HALIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.597846555102056,25.08522046818761,24.682252574357435,23.496496886463706,20.936104508226695,17.33480247099253,17.188694156079702,15.991411692282997,14.999022085726402,14.59648736869967,12.640442402961536,10.776314506276101,13.98216676720624,17.08298859143012,20.286044478775647,22.625246539940918,26.383129808225572,30.35004410149957,36.766725341847604,43.79974320686476
GPlates-94cc44ef-8f62-48a0-827e-84007e2a9dda,Chon Aike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.336644375842916,-31.680455347201747,-35.19375053574764,-34.94895296004438,-34.702072825428985,-35.42216425787296,-36.11210643836726,-38.28094552455122,-40.11254356983323,-38.951886094517555,-38.90139866675908,-39.549231794924935,-38.81922109566805,-37.92467242951314,-38.12801787566073,-38.68622724098285,-39.19617496428476,-43.312041566843995,-47.55459297776081,-52.325306283388706,-56.768561254600186,-61.88682232326053,-66.45587262028234,-66.67238509296578,-66.63144481002978,-65.23995178114015,-64.10860840350884,-62.58377595326858,-61.22077139711466,-61.82279227779751,-62.60832235912592,-64.38902628132671,-65.93625178220502,-67.04470232408296,-68.1152244387615,-68.44700681570656,-68.65817120754399
GPlates-1460d5f6-5bcf-4f3f-a9a3-76cb0e467369,Chon Aike,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.269662330492814,-26.69139483318643,-32.43846550720925,-33.55692650620264,-34.616565457981174,-35.617271608126885,-36.57521897356779,-39.72472496718771,-42.36300464517844,-41.16238207134468,-41.23006710118125,-41.974211375100786,-41.024671073066315,-39.92244310029355,-40.02490314269483,-40.43369722744479,-40.80300208974314,-45.340238105638136,-50.03780568090801,-55.362578922307264,-60.21292863705015,-65.57609064304712,-70.33546014979444,-70.64268624295448,-70.62424433718867,-69.00452828156668,-67.5992342475959,-65.40182498460912,-63.415210996961925,-63.88637138905093,-64.59612258976627,-66.50200175429377,-68.14208841411717,-69.17576066421387,-70.16718842318618,-70.2688105811998,-70.24896893343143
GPlates-4a4870a1-7dff-430c-900c-98ff9074fb4c,Parana-Etendeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.07000254092622,-21.50495395734125,-20.989700071856927,-20.775391965839297,-20.3390283224437,-20.75561549703207,-21.537908016645755,-22.18810218645444,-25.3766209750581,-28.630428713987225,-32.22239351832576,-35.794059743513834,-40.384594195724524,-44.54078238657738,-44.55663320892,-44.460454078211086,-43.54210293915865,-42.96387204118796,-42.81146690311203,-42.72100500615585,-43.64132131039407,-44.63872297861452,-46.21689296711328,-47.60892081497055,-48.93225027364249,-50.22499805464649,-51.12204716106648,-51.9064596771175
GPlates-eba55ab3-5055-4d92-bcef-03fb5d5ec6ba,Parana-Etendeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.409594936388352,-24.975232311935525,-24.863470419904687,-24.464203939688645,-23.754200263028814,-24.02740971754606,-24.462614735522646,-24.767540074357477,-28.280483322303414,-31.89036152596267,-35.97954076830408,-39.933298488216316,-44.76114567531332,-49.09613714006246,-49.130862815108266,-48.932880255510355,-47.67446181339766,-46.74161639553006,-46.00732527473824,-45.43075500554245,-46.32202781356508,-47.33546568107386,-49.10355199049415,-50.642863486097156,-51.99735035492023,-53.309053531217394,-54.09659055254971,-54.75543709855567
GPlates-bde8337a-5453-42ea-9ddb-7a38c3e3627f,Parana-Etendeka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.8554270606208,-28.720211810043338,-29.51005114774287,-28.806837878691773,-27.70155990608565,-27.769487915549583,-27.73104140247388,-27.5385628328509,-31.600636393902366,-35.81860983297735,-40.740784803196966,-45.332342034155566,-50.55495439086394,-55.19089862999437,-55.28859563396442,-54.973457067902686,-53.18735979430409,-51.683209151242544,-49.93824120499139,-48.50938660971143,-49.3323459780166,-50.35423725460522,-52.42121714707995,-54.187434746424444,-55.56256990547238,-56.87532540344698,-57.45132300305246,-57.8798389653181
GPlates-97b268e1-45e6-454a-89ff-bad0f6c52147,Caribbean-Colombian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-49.36076691793062,-51.6584962185655,-54.215302130331935,-58.16683756714148,-61.8480176944945,-61.89180297205027,-62.20269109993498,-62.29561902879926,-62.71567141399531,-63.99493710524371,-65.05566238370025,-65.98723844303674,-66.88917573024598,-67.93625650864982,-68.9078541042496,-70.08700590954169,-71.07163005036904,-71.15857891660555,-71.15831799130655
GPlates-0b897d84-003c-4136-aaaf-f11186af693c,Caribbean-Colombian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.39281859838601,-53.717336975391234,-56.29296152419142,-60.25538910647041,-63.944038782666205,-63.986404614520005,-64.28995185942598,-64.366505410074,-64.77023194996967,-66.02240234249365,-67.05796018602655,-67.9866430061942,-68.88847356522442,-69.94628111710904,-70.92702093989057,-72.10959188733291,-73.1105419375992,-73.25535976379251,-73.30747259709368
GPlates-797d9523-394f-4f63-8478-2101687ba6e6,Franklin,-83.57288644545254,-83.57288644545254,-83.57288644545254,-83.57288644545254,-83.57288644545254,-83.57288644545254,-83.57288644545254,-83.4432704185889,-83.3349943463691,-83.2458328976538,-83.17404824737272,-83.11830211250162,-83.07759203483569,-83.07759203483569,-83.07759203483569,-83.07759203483569,-83.07759203483569,-83.07759203483569,-83.07759203483569,-83.13605810815193,-83.22254090609414,-83.33993782542403,-83.49241251635597,-83.68578028085794,-83.92810213299212,-84.05430491939728,-84.1935825668689,-84.1935825668689,-84.1935825668689,-84.30748887550577,-84.43027120815906,-84.56272945311233,-84.70577180414256,-84.86043301063583,-85.02789647753735,-85.02789647753735,-85.02789647753735,-85.02789647753735,-85.02789647753735,-85.02789647753735,-85.02789647753735,-85.3931935372019,-85.82384008921724,-86.3362977141773,-86.9532049389632,-87.70652453216414,-88.64281636444316,-89.83249878579404,-91.38705722106305,-93.49325948849437,-96.48698996119634,-96.48698996119634,-96.48698996119634,-96.48698996119634,-96.48698996119634,-94.54762548461005,-92.99893746290986,-91.73658847907873,-90.6898594946789,-90.6898594946789,-90.6898594946789,-89.60516287983836,-88.715732668094,-87.97481004290762,-87.34940410269853,-86.81560485559335,-86.35567898425356,-85.95620833487041,-85.60686089690734,-85.29955794597358,-85.02789647753735,-85.29955794597358,-85.60686089690734,-85.9562083348717,-86.35567898425356,-86.81560485559335,-87.34940410269853,-87.97481004290762,-88.71573266809416,-89.60516287983755,-90.6898594946789,-93.40840732205537,-97.82875646040905,-98.42145956469275,-99.09731359313376,-99.87690772920486,-100.78814655449203,-98.13612497901701,-96.17206227889031,-89.4931820359516,-85.71467297292531,-82.73460564705195,-79.91147738562566,-76.93709461413978,-73.99254568058898,-69.58480660653906,-64.65949537566301,-61.878828288430526,-59.145346950995545,-63.75696212007718,-67.94778035575882,-73.95048223535206,-79.2820721762243,-79.55774767985274,-79.84213009183408,-79.93289657481807,-80.02888497213168,-82.00988594836093,-84.15697230767421,-87.27867738776932,-90.6898594946789
GPlates-9163191c-68e5-4bbb-aa9d-a7d51d6323e7,Franklin,-75.92048582814924,-75.92048582814924,-75.92048582814924,-75.92048582814924,-75.92048582814924,-75.92048582814924,-75.92048582814924,-76.03778891371384,-76.13717517229615,-76.2210306470967,-76.29122580111654,-76.34922894777777,-76.39618808625183,-76.39618808625183,-76.39618808625183,-76.39618808625183,-76.39618808625183,-76.39618808625183,-76.39618808625183,-76.33023684903242,-76.24344977599499,-76.13259223928519,-75.99317192529135,-75.8189406672413,-75.6011051573595,-75.48717594536934,-75.36077905668002,-75.36077905668002,-75.36077905668002,-75.25677857025171,-75.14395574696276,-75.02132897125634,-74.88775926126355,-74.74191791468454,-74.58224581796136,-74.58224581796136,-74.58224581796136,-74.58224581796136,-74.58224581796136,-74.58224581796136,-74.58224581796136,-74.22718249334325,-73.7958058779924,-73.26293336359092,-72.59084213696059,-71.72042460705796,-70.55368973934881,-68.9159339396019,-66.46398926779173,-62.42653380566108,-54.69555132938292,-54.69555132938292,-54.69555132938292,-54.69555132938292,-54.69555132938292,-60.01453442457953,-63.460295556457666,-65.85630870688918,-67.61174014083755,-67.61174014083755,-67.61174014083755,-69.2435500494655,-70.45854424115497,-71.39618499213523,-72.14020104046567,-72.74379345022044,-73.24234079004646,-73.66026357359307,-74.0149500714732,-74.31911040774854,-74.58224581796136,-74.31911040774854,-74.0149500714732,-73.66026357358585,-73.24234079004646,-72.74379345022044,-72.14020104046567,-71.39618499214104,-70.45854424114994,-69.24355004946396,-67.61174014083755,-62.60813509858179,-50.183080664524006,-43.4168909964732,-34.747095466969725,-23.85696468832687,-10.88982933054909,-32.743392824038175,-46.27182636783425,-58.338148729143015,-62.70093899950553,-59.47137931758225,-56.63173177882729,-53.00973049167957,-49.63614370432326,-42.884630811204126,-35.96464721948437,-33.329943789911994,-30.880605676324592,-36.85853039058423,-42.76608901389742,-51.158544072059755,-59.29419374743028,-59.275160072455314,-59.25529347041531,-58.67517958239058,-58.05305560820551,-59.506437404208,-61.1823552771045,-64.08891875671942,-67.61174014083755
GPlates-7b949c4e-2c85-44d5-a184-873807f62883,HALIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.53336296768217,116.46803500609572,102.41571900814976,92.05910474388718,83.76346417561741,77.67580123800266,73.75459924936035,70.59334396756208,74.07258581758664,93.72747818231073,177.51107786616834,-165.45320906859612,-172.77469962115407,-178.50125436999656,174.09284332587285,172.61202969946632,170.83328666407664,169.53372224054516,167.73275308019,166.43941882614934
GPlates-ff62b20b-787e-4a96-a68a-194d618cb7a6,HALIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-141.06232557105847,-155.6903068929251,148.855260930162,101.68907171426183,82.58815561803348,72.66288130020688,62.11979700667025,45.09862038058166,-51.122382131169495,-110.23256971377131,-126.33788943385201,-133.18736384029975,-140.6912814534338,-147.49462070229566,-154.2432391641123,-158.30186092837326,-163.46566832748763,-167.50646019414725,-172.16247118000058,-175.74057304215168
