lat_maxs,lat_mids,lat_mins,area_km2_545,area_km2_540,area_km2_535,area_km2_530,area_km2_525,area_km2_520,area_km2_515,area_km2_510,area_km2_505,area_km2_500,area_km2_495,area_km2_490,area_km2_485,area_km2_480,area_km2_475,area_km2_470,area_km2_465,area_km2_460,area_km2_455,area_km2_450,area_km2_445,area_km2_440,area_km2_435,area_km2_430,area_km2_425,area_km2_420,area_km2_415,area_km2_410,area_km2_405,area_km2_400,area_km2_395,area_km2_390,area_km2_385,area_km2_380,area_km2_375,area_km2_370,area_km2_365,area_km2_360,area_km2_355,area_km2_350,area_km2_345,area_km2_340,area_km2_335,area_km2_330,area_km2_325,area_km2_320,area_km2_315,area_km2_310,area_km2_305,area_km2_300,area_km2_295,area_km2_290,area_km2_285,area_km2_280,area_km2_275,area_km2_270,area_km2_265,area_km2_260,area_km2_255,area_km2_250,area_km2_245,area_km2_240,area_km2_235,area_km2_230,area_km2_225,area_km2_220,area_km2_215,area_km2_210,area_km2_205,area_km2_200,area_km2_195,area_km2_190,area_km2_185,area_km2_180,area_km2_175,area_km2_170,area_km2_165,area_km2_160,area_km2_155,area_km2_150,area_km2_145,area_km2_140,area_km2_135,area_km2_130,area_km2_125,area_km2_120,area_km2_115,area_km2_110,area_km2_105,area_km2_100,area_km2_95,area_km2_90,area_km2_85,area_km2_80,area_km2_75,area_km2_70,area_km2_65,area_km2_60,area_km2_55,area_km2_50,area_km2_45,area_km2_40,area_km2_35,area_km2_30,area_km2_25,area_km2_20,area_km2_15,area_km2_10,area_km2_5,area_km2_0
5,2,0,384724.0414862125,327045.99987934064,380190.1559125964,298464.1595271233,416620.844315571,533893.7052991668,530998.4959790072,3107661.524396981,3055660.1522234585,2868437.8801517235,2727077.0629525697,2581933.166731066,2189319.517970429,1649877.751706988,942237.9475178041,492325.8956776802,250735.04181923618,158093.57033736527,180632.19591393974,226027.28481578093,232000.0692004594,427047.01603769144,1177368.2279622094,1539272.7539016563,1423773.860100899,896111.2756016168,432925.9262239688,41740.64157975367,41562.91253214928,49047.98416299442,47918.933234200704,50608.7930801119,57690.34733237485,3147220.9765204783,3161548.525850918,3128490.43339914,3084333.579704414,2976920.3223175677,2892409.588314721,2789958.442201038,2607739.648832425,2352856.8092718534,1878756.3311181501,1342172.3360118028,1508116.0503598494,1716081.8547020142,943520.5500877292,381944.7008207543,363167.3032811902,327751.1432111864,311694.9519499456,296518.1492571125,276387.7389348726,233393.80399887142,90478.09895551912,37865.11429334029,43142.69218486203,34060.521445434046,661565.2064560648,671422.1618905928,243563.82568439862,39370.000601467706,2429.672120373519,3007.400990630914,2572.147492754151,1702.325928665579,1067.0347298611496,627.2110666584717,256.69290287707213,2313903.0378115717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97050.13000882861,196807.23342954606,286461.59513742715,246499.1971887333,204990.36731585235,22827.583009486676,0.0,0.0,267141.2423194227,203605.0687563545,179176.5446702313,158363.48680985023,125099.70709223536,110339.20084518538,115628.36638089753,138009.1816167302,673541.0767137227,605472.2977000589,277064.77026655653,162690.1439185068,649009.9662368725,529672.4752637303,431628.31458167685,305887.85745605425,183636.70818989235,86852.91922536657,72989.62825043766
10,7,5,340839.1019446117,376190.42671644536,530452.0196530609,506208.90843390365,494863.8258990352,423905.9036709134,465759.808781762,1169082.0323906783,1156268.3526513642,1137379.8816947576,1053007.7732102387,947221.9097960542,1130721.8685445637,1456162.78421875,1488863.5550821433,997551.5785207336,646557.2200238443,394202.96237803285,381521.1021035201,377774.8337115601,820510.9602115924,1151093.5284921518,863342.515402533,831945.015232728,869335.0169224701,842090.0774191832,715517.1626089616,579678.3000212798,324570.8939399733,173072.664738329,181582.11518138638,215269.9625236406,226786.1792962072,2044701.9730081928,1930112.3048203355,1878650.255255749,1838748.8211128837,1790167.5307120841,1791142.8620177177,1784634.447969142,1880818.9613136528,1780059.2919302108,1515695.7853702598,1261524.5098985862,1300144.2810695118,1465114.392171101,952023.7459941879,828458.0095076438,524195.2682071779,279901.0354566932,197169.76081084943,129371.8876124593,102536.8663601974,105326.00453142861,219544.73935028136,255028.91710158973,102248.64059655019,21630.894152737557,72736.35745755586,84977.31444874842,465763.9161939269,190638.68090667692,21864.56990380723,27462.279343136746,8026.303700410823,6190.648831281899,2596.8853861209163,1716.7808098778285,1485.0033701919283,2820060.171695128,1854.5764771726028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1160.952837374717,494835.43551898695,432299.72571056895,320169.0008588,339467.33372180525,361015.992424825,416397.5244488717,230162.56261869852,125200.17366138265,271249.81663835654,282805.486493245,279591.6186168844,126862.19011926801,92869.00235132294,99492.67667808117,87318.7945799189,452410.444588115,278706.75203992706,315193.22192987206,574216.5644299508,417398.8610979505,862558.2895979664,781454.9935736445,480229.03227264143,760726.7959914065,781660.2558522953,770362.6539796529,660970.8258038589
15,12,10,387280.8872922864,467992.04981697496,496885.21756650205,467630.4582268339,368018.3682652911,276400.17015433614,227603.3986320088,379729.60956005496,408609.11870042246,471927.8749142764,473403.11260406015,470974.5497250531,412912.0401756955,351250.8763046623,805599.6428294175,1416503.338713697,1414696.3104557795,1058159.1255837663,1055192.4854457353,1075099.692060883,1064128.2699859513,872617.0250287065,711813.123382354,227377.58974402572,228735.1042288937,586698.6335282007,793476.8498476611,694528.4116631687,681459.6387816559,611228.6643024854,567691.7987097368,552189.9694071909,551994.9628207013,1413877.316218858,1199045.9288278408,1012875.5462246253,900683.3083658408,843606.3550949118,634398.7907213877,527629.1834143705,435850.4678139831,607082.1298998921,1022580.0427768085,1172379.3035400049,1060495.3830502965,796544.3452108044,1414934.8788811974,856463.5861364708,700180.9495774615,608065.722284337,576137.8371483072,532267.9657725596,491989.6454510081,450446.0820178473,158835.705070317,21186.11028678593,154346.93731782818,223046.7910589865,265863.1137096206,197325.94062966324,220197.57586704375,634659.975877101,446189.87812901783,162899.99621008546,134419.13944405247,70893.56474886746,9991.666565631796,24654.68306332046,27603.686157800494,2619891.65695074,24568.713578609117,24699.999340846258,19332.744698241528,433.68128284744665,116.31769222786481,0.0,0.0,10.377965209687053,10.879152777960465,11.540805589098873,46.5700223969444,93.12020539161614,92147.97212519818,58371.695563287234,130.69535422305347,172.01265769254272,161.1815313080438,153.71901779210992,108552.47754609729,297942.92813283653,372859.0502944194,387580.72510343924,360262.84275521693,314999.3117532597,430986.58570900525,445088.82952917257,393384.3321469896,467219.58812165837,564184.0333222311,149010.73163286113,210910.56945256513,335686.5254108678,626458.2782896723,1075205.6556905243,1078274.4555014009,945535.6916974063,855158.081034065,740781.7938664008,645142.2357343648,610008.7461241971
20,17,15,321357.54099538963,323641.86738849897,331901.16622619407,292771.53446499846,262079.8972054602,269341.32696040557,222868.2592301531,180085.65594447183,135659.46839340546,122016.22623214815,192176.70146217002,280190.5635658869,218701.32348315907,287080.2610600544,229877.53565183358,497127.8416089437,912197.2040773323,1253377.6355854108,1109315.116187471,1017796.0382572176,725315.7418222142,485144.27059919026,166459.16714185616,190170.255795427,107773.67019794052,157033.531069462,415010.07692446397,687198.7713994246,745906.4062085694,735069.1558188311,731089.645871928,732606.5863542716,671960.2123252236,816509.2040267513,706784.0803152029,597626.720576351,498510.76933800447,453691.98624092276,382946.9681654283,299965.4849951951,177499.42812207193,89896.1198884003,224521.74940945054,894338.4518533652,732525.5378639642,497365.0713975727,792202.550021033,1024329.4242302098,915246.2972107928,776858.7503381822,714862.7566560904,658596.1885961553,615898.1892792354,577683.2972428281,493127.2920083945,309781.46780177637,60565.89482261052,72361.03189663599,20218.424275171812,28727.30852406386,22135.087616913188,55588.46077444836,393903.53533091216,270273.7398424247,57029.53812027966,132271.86364027124,157972.48155765937,55099.875643909945,13647.835151694755,1984121.979621454,2276.3700151732646,2467.8899090877076,6279.110331674984,23272.707092481167,13533.491834149667,4510.40245039125,3818.5921297145255,2501.3061621387615,2567.8600611781085,2597.7175569753854,1736.7742924207096,1649.5996511133628,590805.2086725798,531.7017306221683,524.89057501162,524.9089354233088,502.86218048851003,484.83682862941777,450.82917106015043,4204.734486059282,25905.458183206534,98935.1208429454,144262.63964957398,185292.67657264043,208725.9951776605,229316.72760952252,258871.23786192815,741201.2673574194,297061.03359284985,311993.83462927863,254455.56348465552,155658.41077764085,123500.42747070424,712430.7139653405,726394.7852432963,806405.4750699111,996494.8807674409,963030.8421101386,982948.1960404217,973933.7216166067
25,22,20,341740.59702664753,240113.56839407876,127943.27739250154,56448.959539889634,31128.90350323696,16770.820473629123,17378.576499339957,26220.34791583482,11586.08652524075,33666.31071772283,36063.03563489296,51526.219581005964,143205.75133133674,136024.915188659,150013.07804765733,211478.72988237353,161283.85608105303,440827.10705044755,477822.2218648678,440137.8515699066,267730.05432323733,144998.73343365605,73922.92924827021,47349.74402684217,105124.87859720748,107942.02889946187,88976.96324131134,304403.33111661,393961.52666436136,507998.30111590755,494562.85975497495,439767.3999298546,446719.34147427464,405534.05431070377,519441.9792418673,585747.6977080685,529394.045113666,505096.9737232102,443975.27882407344,392733.7632009004,363136.62555567134,472733.64333330456,584946.2838931741,298902.85744479176,117175.2973290698,85857.04296031472,306116.57988274924,760146.9518439953,907300.8838187491,905446.8549002906,863482.3208238599,821612.5447209266,790733.6756951862,746282.8608918614,630336.8150021276,520071.57121214917,452675.1288547711,206315.17683250952,175742.01567048894,145740.41521977252,62127.04546954873,18189.19205105713,28529.53074550082,368786.17301358294,182924.50468652765,13829.034222706345,43883.487659358616,118959.07071308146,116432.72875286906,1007621.5946843699,18159.85279161193,5796.716823547199,6629.34526117782,111200.92839791349,17905.56868120993,24375.408324798645,22446.02551686571,22584.59614560629,2622.2198372434113,2369.11715435454,8099.203367784632,75054.42825762984,803563.8446494413,70195.75456457867,93132.38455386175,127725.02934754103,123993.45310042253,138431.87121581822,39642.246198289526,54854.05093013268,51909.99288894425,56513.88959542702,56901.3154512124,59176.59992890023,62705.75064937853,63001.879485611564,581304.6795911727,158537.86451752565,52986.11237203024,11772.095453654734,35195.96685900664,205024.69583660382,280649.4168348972,1002133.7271301253,1059078.3214806148,1140542.6607841367,1241366.8674129318,1363721.4982194428,1474722.6215369082,1535018.8909904067
30,27,25,78731.75505174161,50497.35418592229,44011.88996025212,48033.07625541785,44956.684123456944,43425.29442273392,41946.06947746458,40517.23236385383,35385.992513461104,12494.806340861638,7174.593008909014,11620.83413653011,18067.152889248275,116335.43961896404,135304.30545093596,132304.7336368409,153864.91482731912,223573.04385487654,213721.66975239004,176583.64540468607,93201.49348437323,27306.142620105074,454.770455338809,5078.033878944256,15608.054114273524,63644.941566562484,65444.55412747545,93333.48434863117,139564.92017234105,168848.92153653307,139839.3879888601,97808.3522087166,63281.045852384734,36521.15697797014,47733.46289720225,460303.17153036245,497785.9836634772,394843.15815041645,645671.0300548701,904645.0911052144,999711.7863726802,784426.8726935578,346305.70264475344,295811.8353414252,161715.19979880934,10819.094222685682,2322.8011852851537,379851.6711564608,525717.8499335642,676358.6122075166,717095.5419935297,741558.7713558605,742578.1904576699,735202.9130491879,753452.2142040671,686764.1719288249,607655.4356995512,471485.24820225773,450313.78575967497,430965.5776768551,392490.40436828084,344330.49515612866,233773.56986053273,114145.48430835253,384932.35737827566,210491.03499942046,85399.65373565324,80789.70691506194,137423.21640757265,808764.6418266591,211762.84359316065,110168.05206430638,82483.89349656794,115500.03975864594,199490.4974640846,217821.86387300433,244284.97785661998,256471.0204438588,240567.3070412239,202608.87778444967,235060.79345327002,335379.6207650674,932835.6911569154,291689.49443422817,314253.8144646185,330733.9942576805,283611.1870757929,282437.2040625822,268074.9380189712,40743.957225040154,102540.26460418549,147794.5830731867,190409.1011181715,194991.0772684886,190679.16602284287,170236.29014782372,502184.65300421714,147497.19006502713,155865.2429026924,230862.14357711934,417510.33485115855,548599.1120405555,573319.8563246975,1208136.812732059,1210900.1972570778,1214012.3300425457,1199461.567562508,1203568.3205928523,1215566.3788618385,1233399.3740522792
35,32,30,32458.733556114923,24924.903352405236,7431.782175766025,1587.4915488815973,0.0,0.0,0.0,0.0,4419.088978313764,15466.189027024064,14943.301159647006,13309.162529362484,13140.971623687288,16330.810940245015,57016.317299018716,44095.384587450135,56699.27357988639,39846.016831416244,27243.607438805055,20670.083312312625,6060.30082328577,0.0,0.0,0.0,0.0,4670.645151390182,74105.59635334749,51845.44191877058,45850.41935765491,29191.83185640768,24701.99329019369,27461.69397435018,28770.115697234214,35111.47029818476,43033.275718863566,684759.6472745496,577539.285045743,888668.7887504771,925416.2701125079,722560.689546454,731007.1085896906,810144.2656660267,616799.0766899419,399077.59660326235,285939.3500970828,204377.0404309536,0.0,35598.57738916537,189422.75883644752,358934.4750512971,385761.1892086872,594400.2400962575,623513.8746247019,623279.6492947283,656223.1289548053,779887.1555839425,716876.353406801,642172.2588050197,613993.8031638504,587179.1542268193,549522.4154166897,490097.0745981553,432468.04480759316,477122.7854055279,456843.9185249095,617584.5466525115,507526.63484555023,424057.56910716067,397326.11006005725,582934.7927824612,422261.40819299314,485779.5712300149,444913.87771676696,1275983.083413601,463609.17532362137,833410.7440490979,858780.4810219628,687238.3197304108,899925.5722072053,903020.6795272541,998649.9312500908,1121756.1215422405,1621816.5605490052,927495.3778869534,444809.2635197509,371383.6961513524,289258.8185765415,231079.43336681998,222110.10158278988,443042.6448991792,394501.04737363895,406970.945524502,383371.10356485186,378657.6441762529,402420.4643089827,447496.9525253285,693293.5562394012,555389.9604309129,665716.4242022692,751338.0302180491,785288.8680670371,667702.7440370836,624425.1712085304,1154192.088491435,1167431.3514400236,1086227.2626042129,1004241.7670050687,920263.8954575905,803792.3136887624,689559.9913122202
40,37,35,28191.15857360661,23255.281876100133,23635.833650312656,22013.23907356733,16694.12692766128,11931.363527614922,11948.518687978883,14739.140755111188,21657.545744723695,11040.045127332125,6241.551156496062,2463.4218417323386,1965.3405024502056,2482.4611275721245,5909.605640570202,27522.013724672954,6059.076698313603,17.281018873159756,1388.0561301695132,8044.882161398791,8526.601354382654,448.00509261165405,0.0,0.0,0.0,21579.304989341512,14271.966751379055,50166.4870348184,27936.22624523063,42533.53944975918,28200.481074453084,24171.128215964804,25955.485656250377,39286.5148745773,43506.28808480754,165434.07929765602,348735.50007463776,534665.3884766739,405715.7231741289,348971.97323375946,370418.6998883159,391715.8762093853,548184.5321157768,467663.3690023245,560895.2271766546,478250.2983625363,190070.84327824725,0.0,58544.08335441567,43757.95639524692,81704.98747498101,288194.9703054157,287267.1027596764,316092.053569221,553112.0348213989,626785.4035734488,719898.9902498212,735582.5595253869,703074.7662830536,679451.4185311365,667253.8603190259,728794.6614041524,828170.8341252466,906007.9665473457,794419.8540215855,737385.7445994862,610617.4495189664,554784.2846296907,524034.42923519807,458019.3510766851,409487.32803628524,314113.9592157733,274938.56947116466,1276926.9506818107,1291954.6989916118,1158544.727311066,1121915.9804158986,1497244.9505685729,1123852.1779556444,1124262.4317830084,1288455.4995060007,1396443.1875088422,1581954.5690586106,1282556.069937598,1252839.3058313688,1170695.4658042323,1035710.2352621973,922850.1052401083,789683.5099465017,793037.3548247505,754494.7677346249,1020757.5213189503,1040701.155636972,1025106.9737614649,974839.2300365319,951821.6195458749,1039985.4297216856,949124.9047892658,952984.1812373297,917582.9322420519,711810.7263217047,612062.0977963045,549897.048756708,500710.57685990154,432318.8517927653,332701.72640464304,263118.50146243686,195065.94960021426,165266.0206006483,158643.37036869596
45,42,40,35545.3401375332,37752.6300202636,32723.469278701858,38856.749206057895,43721.18861969995,44425.09454716349,44808.67586476826,37660.7429491665,25937.716647653266,14849.29607438993,10347.434958847862,12404.633153183735,26889.872290264226,30486.69041590302,26989.961452551594,6382.378601109815,5582.856612679006,5659.4125289319345,1121.8567645710777,109.02279938450086,8985.179841553707,7137.850638909468,0.0,0.0,21761.800950168144,0.0,45.67518269329974,12768.873494387306,49594.21481920933,44585.5517383545,61061.75680377221,62093.55190662664,40755.62337608703,16497.55658281263,5436.003838327601,3302.6448590009986,17532.63163652407,34464.01819526729,9971.330224519086,4636.670978263679,9529.424639342353,16232.907301381414,307493.77022416104,460425.22028615884,554150.8641367877,747255.2602988626,369685.2616924433,195162.44326458703,346787.3715109679,157058.00113169005,122309.42537567441,89881.62355966776,72881.26396545352,59259.49274701684,253337.74201332786,492792.3077606066,625828.297491989,737884.0176949258,746878.5144342997,775403.8162855712,845039.3632596805,874886.3342315445,922977.5708556985,879453.2965231232,890291.6492727669,759483.6561218804,617945.5250472779,404440.3098224693,264344.0044355651,192378.47393801523,194745.21617093927,220483.9092376524,194769.9759680772,1087349.8583817927,1316377.7389856246,1454444.229765001,1457507.3072974177,1461724.1395368632,1305546.056707976,1266997.4458577018,1323832.5786774904,1249467.3007781706,1322475.6667190779,1166273.6361376913,972208.9165518117,1047982.3291521284,1031371.7968968449,990859.5650184309,938815.9824925393,816534.0284269149,784342.459592643,1034324.4539035796,1009522.4221770916,994379.9230223309,969776.3164037847,981603.0549803146,934989.032467952,1019593.572335467,876115.1601406727,751947.4696395979,582275.3798582611,376717.4953658836,287191.6551259168,202623.703641381,167502.59883823444,142166.23917869636,524011.7315091462,511001.6349435799,496738.86495766736,488434.3257339553
50,47,45,44462.88130054668,21747.928452839114,20442.457425161945,16551.576075701676,15966.033275128468,16907.738965257748,14574.745224185555,16651.203975431614,14752.47697632602,27186.876956153643,32825.764633845145,31244.830588686735,15779.550576519472,9042.680314954454,6749.734203041879,5900.84014468923,5655.010655949475,5517.162673326036,6022.218117555311,3292.97576135271,1452.4212594892201,8893.480655903959,5275.2146119540885,11196.083860446124,1037.8402905564124,0.0,0.0,4147.771202551939,4523.029873795583,13793.670617379881,9731.641189582302,6933.759381819897,20764.758995827306,19893.742149087117,16173.918385960102,15258.872891224537,0.0,0.0,0.0,0.0,0.0,0.0,6518.46002515844,247927.9409666768,298855.7811639621,328417.77160535246,734456.0641947057,292943.5084074559,645351.5436960105,548536.474387748,510815.94739361433,442356.7907271491,391651.8917610497,446382.2016308801,359218.13541425345,404367.52896830667,509886.41860091465,705275.5850282786,674360.146500062,964828.0247391702,998983.6691934204,919785.9617057741,724109.9176285766,636803.2177772524,602245.3001473988,675109.0563197578,730379.5582380075,522626.920288968,393613.5402898201,202680.9880267192,205732.87240610903,181763.23178082838,295910.1756765671,845926.5552817392,1197449.8344600769,1506868.1610909973,1383505.1190913818,1235195.5344681225,1098875.5766123647,967063.9216480543,766993.3785101015,722651.5243597019,687806.6319352443,631191.283097432,555630.5286552876,480823.28607292625,489674.26180331246,501047.2748810147,703140.2732624796,870992.4603603096,850680.5988466274,836987.0951540386,860789.2149845685,853870.7776900886,881522.1432215597,739555.0777314177,672192.1356521884,722667.8684419852,552059.7149071184,453508.04802839935,400296.90336766466,360607.96595172695,323156.74937377765,290858.37111880747,279043.39621433674,260604.17610942223,460035.2750115681,430545.0570759979,407886.94412331225,370233.127300518
