LIP_Ids,LIP_names,lat_545,lat_540,lat_535,lat_530,lat_525,lat_520,lat_515,lat_510,lat_505,lat_500,lat_495,lat_490,lat_485,lat_480,lat_475,lat_470,lat_465,lat_460,lat_455,lat_450,lat_445,lat_440,lat_435,lat_430,lat_425,lat_420,lat_415,lat_410,lat_405,lat_400,lat_395,lat_390,lat_385,lat_380,lat_375,lat_370,lat_365,lat_360,lat_355,lat_350,lat_345,lat_340,lat_335,lat_330,lat_325,lat_320,lat_315,lat_310,lat_305,lat_300,lat_295,lat_290,lat_285,lat_280,lat_275,lat_270,lat_265,lat_260,lat_255,lat_250,lat_245,lat_240,lat_235,lat_230,lat_225,lat_220,lat_215,lat_210,lat_205,lat_200,lat_195,lat_190,lat_185,lat_180,lat_175,lat_170,lat_165,lat_160,lat_155,lat_150,lat_145,lat_140,lat_135,lat_130,lat_125,lat_120,lat_115,lat_110,lat_105,lat_100,lat_95,lat_90,lat_85,lat_80,lat_75,lat_70,lat_65,lat_60,lat_55,lat_50,lat_45,lat_40,lat_35,lat_30,lat_25,lat_20,lat_15,lat_10,lat_5,lat_0
GPlates-e698cb6b-72bf-4525-8cfa-fd72d074bb14,Emeishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5717100508250503,1.2553727925355973,6.363264543838105,11.690511637495163,15.308971144526076,20.509759892047118,26.85082776343682,31.303401097362688,33.836744528855704,35.28117613840991,35.456659206402726,34.03714552756954,33.752291745056965,33.686342547404124,33.686546753685874,33.68674021156732,33.59893758996114,33.54212094708517,32.4650665097354,31.42003069121782,31.178439108074738,30.94676877258946,29.53714299173523,27.654936925662227,28.337320975814194,29.028749654735307,28.41838848389416,27.65599443064283,27.546396588486356,27.347786870999226,30.499566185866506,33.48709156132372,32.415463930811136,31.50426189919427,30.318831399359528,29.87771724837398,29.7795083811658,30.366499839056953,30.549874744907044,31.14988025086217,31.877297737607556,32.53024723588405,33.5466257657071,34.26402388191544,33.435863839986204,32.69638244293459,31.796323785435284,31.354821921331286,30.705817951034632,30.0475788417173,28.983465476515818,27.88272939960587
GPlates-9975546a-96e7-4060-8e2e-5e2771484e14,Vilyui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.510900029828804,33.05882025089665,34.57036863532202,33.87130593590162,33.26629273120312,33.54895090022854,33.70960335566117,38.4306092287872,42.87871511564349,43.47016693892647,43.20398368844376,49.39170496595831,55.4065098458531,57.806636921062704,60.04861363619206,60.67748248485838,61.262048431532484,61.60111572115119,61.90346265045584,64.86115716817241,67.80562594290294,70.66123362950198,73.51119964618627,73.63477391461863,73.75317456866848,74.82229725355393,75.55384293219858,76.34122125995995,76.46063665966037,78.03972333816786,79.17921392100007,80.33103041897172,79.97124726085943,78.71303349605355,76.87511813260235,77.86763311138463,79.29854892640901,82.19818579693208,84.105791366383,85.59312170285823,83.56334697280838,81.70163570279313,79.79028673109416,77.35584060178988,75.66554563349654,71.01610958802422,65.83489561064367,66.64434389280791,67.44139290474443,66.87073592076864,66.02784451672905,65.8115747517483,65.47725953981538,68.46667841977091,71.31417458673988,70.36374047510222,69.63144440718871,68.55137910840101,68.16584682001901,68.10244795432493,68.6982144637401,68.92631657510344,69.54344904709828,70.24010464176651,70.82576274440206,71.5140043992108,71.80321198592597,70.83142045253636,69.9516185748266,69.05868548574519,68.47493389470333,67.55947168091637,66.63949368828634,65.21110034931762,63.763362750214824
GPlates-6d2fc837-eeeb-4cf7-8937-9de9a0950385,Kalkarindji,,,,,,,,1.6010409403041457,0.4689823730010427,-0.4740190786088677,-0.3664914027906252,0.03809119802617993,2.354096119404265,4.28814245243921,7.559877070516436,10.759158944055981,13.63652221815391,16.395421069294454,16.679840288585048,16.359439112652474,13.554303579947698,10.393028559735322,5.949577455331217,1.480288222339928,-2.6154511742650244,-7.578786851157027,-11.128911844760156,-14.9290427253066,-16.286997159621496,-17.2205089524234,-17.042656134554772,-16.529139620625028,-16.5416728985019,-16.331318241934685,-17.981024444403435,-19.64953434086124,-20.72848133252331,-21.072108373226744,-23.022590662237523,-24.745089889274084,-26.528448584306975,-28.448677572859634,-30.347569550293237,-32.27968213922239,-36.14327413101073,-39.99640641437425,-45.605438296299404,-50.840702581444226,-53.140823165596935,-55.40137658412186,-55.883077444467204,-56.406651862195304,-56.735120734476716,-57.100481337549084,-56.117933229487264,-54.92031025116252,-54.39683871738298,-53.784843570825544,-53.8242831010673,-53.86426866474961,-51.371123935835676,-48.877649426973115,-45.991605020599586,-43.08227901973518,-41.683759402985956,-40.20601979166015,-39.233479223122366,-38.129488072328705,-37.166788470816236,-36.14453980140717,-38.3036596639583,-40.42906708440094,-42.837009833525826,-45.24295411273871,-47.76225777076839,-50.195571542990876,-50.63787226052437,-51.07686602602307,-54.75240840514372,-58.30576753740603,-62.83430874589633,-66.27436606612815,-65.04955841855869,-64.32961681850125,-63.376443614892914,-62.07978479635432,-61.534815146423945,-60.98687458526916,-57.16182347807712,-53.38867775904166,-53.23213188584157,-51.87907139371092,-50.88100382967719,-50.33315825971101,-50.07586389084197,-49.047720884409266,-47.92484297728511,-46.494780861410796,-44.87166370491673,-42.97210872890413,-42.16946561505844,-40.91043702587452,-39.32548586100093,-36.80376333727812,-34.04236990230489,-31.563958280476015,-29.62919948420392,-27.663346392447593,-25.954138445914165,-24.284077401034757
GPlates-116b81a1-4601-4995-90a5-8535640c8174,Magdalen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.072415159514215,-31.536982462747467,-30.127715480190904,-27.960668783491556,-25.794973400859206,-22.852348397560196,-19.822774099544837,-19.17947975080232,-19.252310134238105,-12.332022779293276,-5.410326687710639,-2.3317703656853292,0.7395390320344668,1.6481860291029795,2.5637309860159565,3.1834652717311913,3.8062034689402338,5.809430264397086,7.822828043671696,10.283176129535478,12.80807616093657,13.132849047790238,13.45830703085219,13.018520536629834,12.573723817015765,12.463568965087378,12.282073705662334,14.03344276962401,15.767562386423888,18.691312632633235,21.607198322827955,23.815895869165917,26.007472195454888,28.361808116309078,30.885460841722193,31.134437640327345,31.315066744032265,29.574443861632265,27.772112163290608,29.198072729138485,30.648350232494906,31.65955074796783,33.06381392473562,34.54451026640277,35.45356002600959,36.22891225944087,37.21684627725898,39.26092752547632,41.33559921792291,42.430313128517994,43.48148300158342,42.2872673720536,40.63962476150803,40.854450188066785,40.58650693638606,40.683807276968366,40.65387593837382,40.69396438184332,40.52723313817116,40.024556136966176,39.37358515874254,38.982484707830054,38.52010613706982,38.80110917382733,39.13074130355337,40.011318562249514,40.90820820602815,41.7709477585868,42.452406950930104,43.478023553483624,44.4308612190523,45.80822465047012,47.11688709489629
GPlates-ac3b5936-0135-413b-8e0e-2986c701b51b,Kola-Dnieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.658293150892277,-4.014307142593531,-3.488561050437282,-2.9155690799276677,-2.521335311486294,-1.6811340591881327,-1.0465377976770633,0.9091494228000548,2.738508896977432,5.727776871167007,8.605106922598848,7.124313537417822,4.706179121005405,10.435926879854476,16.15634873365729,18.585522583413244,20.935021926416844,21.749052721887868,22.527878275936402,23.06687823045314,23.57651221859899,26.689246700211424,29.80264539599498,32.834618132380065,35.863758621288966,36.170069642811434,36.47487833078597,37.58075254421121,38.634920929166924,40.20743688092413,41.647482237768436,44.200622406583676,46.74133777154262,50.84883097664281,54.95565181618102,58.15784415198686,61.359104032240566,62.83124689151453,63.417022248721935,61.00997916170277,58.427366367019594,54.358447287324765,50.27400681211417,50.12608075257024,49.949524075824996,48.82867347827906,48.71335158194896,45.934489539922545,42.18763516741124,43.54548941178744,45.14774311232128,46.56930938180573,47.86341307141317,48.84511488749305,49.70317908312942,51.93555778082196,53.6093275636891,52.73160639467654,51.47978724913329,50.328594882661264,49.713197013308715,49.36422119954338,49.53779902509416,49.14282367588266,49.18811488656856,49.861425174510664,50.74297490911394,53.023712218226294,54.89446998999826,55.13617721384001,55.36253419497428,55.06647342840497,55.359534370842766,55.915170748240875,56.40151075476913,56.95442076281179,57.42519293104858
GPlates-8d290f63-e4a2-4a0f-ac58-226f8fcdb0a5,Wichita,,,3.8399045486388994,3.5262328837066392,2.601561846924936,1.6864131154850222,0.7775445791388844,-0.2959791570378416,0.12176462955113758,0.10222518141331337,0.5053796940902505,1.571770929042515,3.2774864062308975,5.586434500964736,6.98178430054334,6.323288596384781,5.65681688498745,4.982571507359568,4.300751081783467,3.611550488709227,2.91516086652585,-0.5053461447388155,-4.6215716816488115,-8.748350883105825,-15.010425112493646,-21.10329750077264,-29.30476571025874,-37.346081908670065,-40.52795305487014,-43.68530754799806,-43.10370630404654,-42.525359974936066,-40.119003508749664,-37.74917795499643,-35.34679471640987,-32.96862729184496,-30.774623544774737,-28.6210165053057,-26.7267423700118,-24.842944331925807,-23.141829353732266,-21.281945171023796,-19.32731750347684,-17.058475876149522,-14.253057142699069,-11.888100331507413,-5.9225565299667275,0.029764637518831873,2.7627503420726542,5.535031181941157,6.24295224043261,6.9916968215338615,7.486718562691603,8.011802621830807,8.370956387718357,8.730926796698848,9.86567634752634,11.096412162865175,11.329583820467086,11.564825505044682,9.858620223155649,8.156824576710882,6.468171947602322,4.7373300890547005,5.176891150872642,5.606739275288973,7.214697058261646,8.821038410023373,10.115920823748178,11.386614230586112,14.428416539901399,18.218010924173118,20.410785157724153,22.607628426177,23.40164120508085,24.166638179263813,26.172326375123646,28.18564326662343,30.32207149334432,32.15595412143507,36.08157518385605,40.092950766811605,39.96167511003861,39.8829767715269,41.14799228035165,42.472235217714086,42.97956914324544,43.55313273314224,40.721514905977536,37.725034375766064,38.593902610142884,39.224607239071645,40.16859127730783,40.919674998201394,41.6361097518698,41.74209301698,41.34376504018015,40.290692872702,38.79726117106102,36.84302224537691,35.23323513491605,34.066238086820185,34.43720630916787,34.838779304997146,35.545490630357726,35.694627861009025,35.88766016908244,36.00663580688175,36.269101151969984,36.43596057427542
GPlates-91da79a9-3aa5-4e27-bf5a-e449b93a27ed,Tarim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.01533784693842,32.42989777080768,32.57423432980525,35.72033308941587,38.8528487488407,40.66827592652242,42.454124259094385,42.02827477608112,41.60008179623308,43.71606263983236,45.82892853088183,48.536038738788946,51.22378896905138,53.41306444778455,55.559361752611096,58.55161752688016,61.17558238955157,63.081214621346454,64.64271744762661,62.7555156640098,59.61195798924097,56.13566208265638,52.60554929876582,49.23737483806872,45.67366249221065,44.06173460827079,42.45998263153232,40.13649086036713,38.78389582609218,34.20587007253516,28.9789643417768,30.058629823763873,31.255627196696697,31.459473680884035,31.500240730371377,31.858023985424982,32.09846455595661,35.30475657453094,38.20254028008784,37.03410394074416,35.82317120623218,34.46651549220808,33.880999784417604,33.65695551126166,34.15033087688156,34.10561246889072,34.55334373804143,35.373419827840756,36.235534427059854,37.98666778307242,39.341853870829326,38.83866010277837,38.396537382681515,37.612145099256736,37.63967653985436,37.76356983219312,37.83296952208175,37.68824335330867,37.510731711333065
GPlates-c24b3ab0-2b35-4ff9-a35b-da6dd6e287a3,CIMP - A,-13.05984865439096,-13.886969089905172,-14.82696761069417,-15.73257707640637,-16.596365412508028,-17.445610197950696,-17.846205382905172,-18.360485727781764,-17.204781741364517,-16.400324717737515,-14.554170833572167,-11.941501513375707,-8.641175846205206,-4.739735472926509,-2.317288464450154,-2.7503348897359734,-3.1925400764799448,-3.64376634664902,-4.103875805676179,-4.572730475203143,-5.050192420005867,-8.370524530647232,-12.360126566499092,-16.295234474167753,-21.503755927272543,-26.29826261848363,-32.93951848900919,-39.0023721075763,-41.70702032485528,-44.25003958372886,-43.80230522131243,-43.36270549261455,-41.47715823568488,-39.668864727583106,-37.72805787791856,-35.83614824836132,-34.028405548429305,-32.31374825128409,-30.571638918287814,-28.92195595384175,-26.829358615032913,-24.681873644215433,-21.975214347736248,-19.097722648040236,-17.64950432306404,-16.84444812160478,-10.017755391430079,-3.198712207810893,-0.135449827463877,2.937298228644,3.8070334365977714,4.695984579712458,5.293642460940264,5.903998515218633,7.399109093171907,8.899990618346918,10.979123318464499,13.135320235581995,13.439424753158146,13.74474617253865,12.83315377363816,11.918398321613353,11.232721792633638,10.481974082357086,11.815643788501479,13.130533476005064,15.666392697767067,18.190396104319582,20.127364019822153,22.04020216297602,24.738360952495096,27.843286355146176,28.851837515240632,29.81139620421929,28.950696849465455,28.01953000008157,29.723270089866993,31.448421947929386,32.91991797982615,34.55157707184495,36.99064698013285,39.03774263948063,39.54312627165839,40.21493642290344,42.10742055446262,44.04756206587666,45.004052814779364,45.9547140987109,44.073361333114896,41.81546216787013,42.28849274601812,42.337338149108,42.752526149256845,43.00575582803882,43.29340201814304,43.21403862535646,42.71639092405607,41.87962146812111,41.065056969322036,40.027804361336884,39.62122626832603,39.40400051624859,40.140645946239836,40.899514343572335,41.75334052458044,42.2690945017007,43.03088053795444,43.71197352051448,44.72750749960603,45.6529181285344
GPlates-0301107f-e026-439c-8dd0-c1d6e66c533b,CIMP - B,-21.314414312936552,-23.481142092937688,-25.10314255287577,-26.65527335719833,-27.42196470025491,-28.167761044621564,-27.970116356609033,-27.849923026417077,-25.972002931847534,-24.387884248291584,-21.29101895348406,-17.478776658362214,-13.06949646010647,-8.174886033696389,-5.137693008072863,-5.369734913590149,-5.611305546319472,-5.862325171525308,-6.122711725681615,-6.3923809220648256,-6.6712463569264955,-9.669125393397733,-13.25967801139284,-16.740961582753215,-20.731635256046136,-24.157530862839728,-29.07585509690782,-33.21726227485126,-35.33028240812069,-37.215628260542516,-36.89862731629435,-36.59202858984758,-35.23543026133278,-33.97668291259828,-32.5399661774559,-31.164070741789395,-29.798233820272095,-28.551640845906558,-27.083313178569494,-25.75186749761869,-23.581636536831454,-21.427922526087826,-18.441546596813865,-15.391699848291204,-14.986695770440626,-15.344641146294522,-8.45029202236346,-1.5491477658984465,1.5099320204751372,4.555806049528121,5.470769693092539,6.388207193363616,7.010644511224943,7.632637349081437,9.793939087852063,11.95827495502516,14.518530579873417,17.135192880336593,17.463706419521575,17.792734377051044,17.489099793745762,17.17101736221735,17.20144445944463,17.14632130198321,18.974193598641946,20.779459930102536,23.759227827578098,26.727347181788467,28.968937588837345,31.1920705016561,33.49096336446283,35.907930036730555,36.00481126700517,36.00418022937961,34.0459739047378,32.00416202755745,33.32939065601138,34.67521916694314,35.518286341241094,36.825053676688746,37.92386296721324,38.34419014663637,39.224539847965254,40.33087631490467,42.40457707518464,44.49881344037753,45.630496869595746,46.70300731195589,45.8031780145397,44.40961034676738,44.526780437091375,44.14430764552692,44.117394593600174,43.975828305591,43.91492348447785,43.71521407232663,43.21918872819557,42.655036192815814,42.438284304332456,42.200749167382995,42.72319679353339,43.23222534547451,44.14822415583876,45.077816699003016,45.931898105507365,46.65704325784346,47.751493666517504,48.774683494730084,50.241200563299216,51.64250987332329
GPlates-dbaec2dc-634f-46ec-b8a7-ffacc897f1fd,CIMP - A,-17.432117857901734,-19.03137641608415,-20.367743028754422,-21.649656923601256,-22.460798708179382,-23.25392689735859,-23.313138878500343,-23.46741781718815,-21.893543991850414,-20.640047235393762,-18.069719004134935,-14.755849685100495,-10.800105945000878,-6.304242392760948,-3.513738839037685,-3.8357518104540165,-4.167306891450938,-4.5082955416134975,-4.858607642159884,-5.218131628221255,-5.586754618996165,-8.750693821513757,-12.546902147291794,-16.258574373656053,-20.825399183010028,-24.891555349373157,-30.622419218958495,-35.653677814516655,-38.047803502536865,-40.23981615970774,-39.86256362134556,-39.49477675970609,-37.892869766648225,-36.38003437511277,-34.70674641156355,-33.089209381295376,-31.51427440430062,-30.04801471755833,-28.443946588004497,-26.958473693941944,-24.802582016747053,-22.63235113767219,-19.744945254704326,-16.74699561735142,-15.872893028388903,-15.715388659823622,-8.79491729502731,-1.8763211092387564,1.2083358460086129,4.289876901786635,5.19172489977851,6.1035688780586215,6.719775914193681,7.341431240696187,9.220434501287382,11.102205990943558,13.464174483730526,15.891407784888834,16.21133692016381,16.532106426551906,15.947592034718056,15.352692100525351,15.052470168998129,14.673932259410197,16.282914139912563,17.869141679457236,20.657140151896243,23.43119687852077,25.53958273744785,27.625454790973073,30.13315169259056,32.90164257069319,33.439558004743304,33.89801121463915,32.43981063735885,30.895763970967025,32.40925880807661,33.944164835606685,35.085198014969095,36.55560458028943,38.27597377100303,39.42753551650659,40.1533135399038,41.080982871485396,43.10266434022148,45.15904074597542,46.229661663130294,47.26466960191712,45.903605325753425,44.091264353160554,44.37433193474159,44.18418834146755,44.35860586530512,44.3940630456499,44.48960771089645,44.34104755033051,43.83689589032661,43.141756941645056,42.65129614088479,42.045306832230416,42.146049241205255,42.32305153376416,43.16700104502153,44.0287381617367,44.89456135916272,45.53079782019525,46.48260137612703,47.35679899660229,48.6272767257514,49.81768769480185
