Age (Ma),pCO2 probability maximum,lw95%,lw68%,up68%,up95%
65.00,244.44,153.52,194.12,298.78,423.89
65.50,235.40,146.09,187.16,292.07,421.65
66.00,228.84,147.25,185.52,291.01,420.50
66.50,238.80,149.51,190.88,293.66,416.01
67.00,247.76,153.69,193.38,298.83,406.00
67.50,245.15,151.74,193.86,310.75,417.62
68.00,244.28,150.10,195.93,325.21,445.41
68.50,247.71,146.11,197.46,341.89,466.63
69.00,261.65,146.36,203.58,359.43,483.28
69.50,278.05,150.05,214.52,380.68,504.84
70.00,304.07,152.01,224.47,406.79,537.55
70.50,334.70,147.28,236.96,435.20,585.21
71.00,345.49,141.22,246.40,469.69,633.67
71.50,355.69,136.67,259.75,511.63,674.63
72.00,369.23,134.42,272.51,548.94,712.36
72.50,397.26,155.84,285.97,575.94,752.40
73.00,435.21,162.71,305.91,599.19,781.54
73.50,454.20,183.39,330.51,634.55,818.85
74.00,487.96,198.34,346.51,678.57,873.89
74.50,515.38,212.31,365.34,717.03,936.12
75.00,559.27,228.82,379.27,752.62,995.67
75.50,584.05,249.26,391.77,783.81,1012.84
76.00,611.01,268.11,411.19,817.16,1043.55
76.50,624.52,270.48,425.91,847.10,1079.28
77.00,649.32,277.60,440.40,883.05,1149.12
77.50,680.95,288.62,455.92,927.87,1182.12
78.00,714.54,277.58,460.81,977.26,1226.30
78.50,696.89,265.66,467.73,1002.85,1274.43
79.00,692.48,264.81,477.78,1021.46,1314.89
79.50,685.23,275.67,478.63,1043.25,1344.54
80.00,675.53,284.87,483.95,1055.92,1358.22
80.50,677.98,278.64,484.30,1068.08,1377.85
81.00,659.94,274.95,476.38,1085.67,1397.98
81.50,668.49,272.10,478.13,1101.95,1420.14
82.00,683.89,253.60,479.70,1103.14,1437.78
82.50,699.49,245.36,476.76,1098.32,1429.22
83.00,680.80,250.84,476.82,1094.69,1412.29
83.50,634.30,232.67,473.63,1065.76,1378.08
84.00,623.45,223.49,465.19,1050.45,1360.85
84.50,614.81,213.57,460.89,1044.89,1338.61
85.00,619.42,196.10,441.81,1032.74,1344.99
85.50,629.72,199.56,435.96,1015.83,1361.26
86.00,611.63,202.85,420.39,991.87,1346.30
86.50,601.04,198.88,419.45,951.28,1309.67
87.00,574.15,198.18,398.41,915.43,1290.36
87.50,574.37,194.65,371.08,884.78,1256.57
88.00,558.55,145.34,353.95,867.60,1273.62
88.50,498.70,115.81,338.79,854.83,1268.50
89.00,477.51,103.72,321.41,834.04,1234.29
89.50,455.56,112.88,318.49,801.50,1179.88
90.00,450.16,136.28,316.92,777.23,1119.39
90.50,473.13,160.58,316.55,757.33,1044.34
91.00,481.15,177.34,319.32,728.16,977.08
91.50,479.48,188.33,325.36,712.75,947.91
92.00,462.19,201.49,337.57,699.79,921.67
92.50,467.86,218.50,358.72,696.25,893.14
93.00,496.03,253.21,388.63,700.77,862.37
93.50,522.13,293.08,410.85,714.74,868.69
94.00,535.30,312.53,427.26,734.36,879.68
94.50,568.52,329.03,439.67,757.84,926.34
95.00,596.80,327.61,447.84,793.12,964.61
95.50,609.86,339.95,464.44,814.94,1014.81
96.00,622.05,356.71,487.55,851.76,1068.84
96.50,650.13,371.62,510.91,892.86,1127.38
97.00,691.83,379.83,536.02,936.50,1201.30
97.50,730.74,387.25,557.53,986.86,1246.52
98.00,777.35,390.98,578.98,1022.17,1305.92
98.50,814.98,405.88,603.91,1055.18,1322.65
99.00,805.80,453.26,634.12,1077.17,1332.98
99.50,833.61,492.10,670.85,1105.62,1342.03
100.00,862.05,529.03,709.93,1129.71,1351.09
100.50,898.53,566.59,738.74,1161.08,1364.69
101.00,945.01,589.27,767.71,1191.29,1371.41
101.50,965.86,625.55,790.22,1210.70,1409.24
102.00,986.66,652.85,813.97,1223.24,1402.44
102.50,1006.27,682.31,827.02,1235.87,1403.14
103.00,1013.91,700.81,846.51,1243.60,1399.68
103.50,1012.72,689.34,855.85,1258.65,1420.69
104.00,1027.05,679.81,855.20,1276.30,1441.05
104.50,1040.37,680.47,854.22,1299.18,1477.69
105.00,1046.47,681.97,859.72,1308.00,1494.91
105.50,1019.65,693.11,866.63,1320.53,1516.04
106.00,1037.44,693.12,871.42,1333.14,1530.78
106.50,1033.25,682.51,870.08,1351.13,1562.19
107.00,1028.16,672.54,868.72,1368.17,1590.83
107.50,1039.07,661.49,857.70,1388.69,1626.42
108.00,1040.79,668.04,858.63,1402.34,1646.39
108.50,1055.28,663.72,868.79,1410.59,1650.65
109.00,1058.74,681.73,872.85,1413.16,1646.90
109.50,1069.77,697.54,880.48,1404.02,1636.46
110.00,1110.78,697.67,891.68,1398.87,1629.87
110.50,1112.36,698.69,890.46,1400.58,1651.27
111.00,1148.07,709.50,884.26,1401.38,1657.74
111.50,1171.66,697.88,885.98,1405.13,1669.78
112.00,1084.42,705.30,893.92,1404.32,1671.19
112.50,1095.61,715.31,900.18,1402.65,1693.67
113.00,1194.91,710.36,909.31,1403.23,1669.10
113.50,1207.55,725.86,930.54,1418.97,1642.38
114.00,1123.15,722.17,935.93,1435.49,1663.06
114.50,1112.02,724.00,937.77,1448.99,1679.86
115.00,1107.09,715.82,936.31,1450.86,1688.20
115.50,1102.52,712.15,936.63,1436.07,1678.97
116.00,1103.25,716.13,936.38,1426.76,1669.30
116.50,1093.39,743.10,940.09,1412.08,1632.40
117.00,1077.79,754.60,940.92,1395.19,1623.40
117.50,1155.01,758.89,941.33,1380.28,1611.81
118.00,1132.44,751.75,934.44,1365.76,1583.56
118.50,1109.51,751.66,927.02,1349.91,1572.79
119.00,1085.07,747.02,919.33,1327.82,1530.50
119.50,1065.49,759.66,909.91,1291.28,1473.73
120.00,1035.66,762.36,903.05,1252.21,1425.70
120.50,1016.73,756.22,890.60,1222.14,1371.20
121.00,1004.47,742.50,869.84,1198.49,1354.28
121.50,990.70,725.31,854.82,1186.75,1338.19
122.00,983.18,705.71,832.46,1172.31,1324.39
122.50,968.78,695.68,818.28,1150.81,1311.48
123.00,987.36,673.46,797.26,1137.47,1297.03
123.50,931.03,650.68,773.94,1130.03,1298.42
124.00,878.83,609.74,736.59,1124.30,1310.94
124.50,861.74,568.28,709.29,1121.28,1335.44
125.00,856.72,538.96,695.92,1115.20,1324.17
125.50,867.26,526.41,683.60,1106.63,1325.90
126.00,899.52,512.68,679.80,1096.83,1324.28
126.50,935.43,487.92,677.57,1094.93,1347.60
127.00,925.84,489.83,670.17,1107.08,1353.44
127.50,856.06,467.70,660.88,1115.15,1368.53
128.00,848.35,480.12,656.77,1124.32,1380.09
128.50,836.78,485.99,661.02,1133.22,1373.77
129.00,846.83,491.07,670.62,1137.68,1372.52
129.50,913.11,519.51,687.44,1148.31,1371.83
130.00,935.09,521.18,697.98,1158.43,1380.66
130.50,950.58,516.37,705.63,1177.76,1396.33
131.00,906.95,495.44,707.60,1188.38,1425.30
131.50,879.94,493.94,712.98,1204.35,1443.45
132.00,886.48,501.60,724.11,1219.24,1475.08
132.50,892.13,505.10,733.10,1237.06,1503.03
133.00,909.10,505.15,736.65,1263.63,1561.87
133.50,925.75,511.66,733.84,1271.96,1600.78
134.00,949.64,520.88,723.61,1295.63,1647.52
134.50,972.22,511.27,709.42,1318.45,1693.79
135.00,983.04,510.15,715.27,1318.52,1714.28
135.50,993.36,528.45,720.02,1308.18,1726.94
136.00,1003.59,524.26,735.37,1293.88,1756.30
136.50,1024.47,531.46,732.55,1296.57,1733.08
137.00,1011.73,527.23,746.08,1277.64,1722.23
137.50,1014.20,522.94,745.04,1269.18,1710.12
138.00,1007.19,522.36,743.70,1260.91,1673.67
138.50,991.33,535.15,742.07,1231.24,1613.97
139.00,947.70,549.58,741.71,1189.70,1519.20
139.50,919.17,565.38,736.99,1151.40,1402.67
140.00,906.23,560.73,723.56,1110.68,1313.56
140.50,890.40,562.92,704.89,1079.46,1249.50
141.00,848.21,539.63,689.87,1044.98,1214.76
141.50,841.34,529.02,679.71,1026.05,1193.05
142.00,831.85,522.40,660.91,997.52,1161.22
142.50,831.68,508.55,632.93,976.98,1147.62
143.00,738.70,491.11,611.23,965.76,1133.15
143.50,725.03,469.98,584.86,954.14,1131.08
144.00,664.43,439.58,557.20,948.96,1120.83
144.50,651.10,422.71,538.81,939.87,1107.48
145.00,713.01,414.46,530.95,933.75,1110.60
145.50,742.41,397.08,520.79,926.54,1119.83
146.00,766.99,381.21,512.66,932.96,1136.45
146.50,754.86,361.19,508.73,946.89,1182.33
147.00,746.00,340.77,499.84,954.48,1214.79
147.50,737.93,328.65,502.40,960.82,1233.47
148.00,725.33,325.22,508.49,973.43,1245.62
148.50,717.12,346.18,517.76,993.50,1265.68
149.00,738.03,376.00,540.46,1009.46,1272.91
149.50,717.24,398.71,560.99,1026.95,1306.30
150.00,703.38,386.68,563.90,1057.26,1380.45
150.50,824.47,391.32,574.39,1085.88,1414.02
151.00,834.46,382.23,579.57,1092.92,1432.28
151.50,799.60,386.41,583.77,1117.17,1442.11
152.00,812.24,393.19,575.78,1152.23,1458.75
152.50,809.92,358.72,565.85,1195.92,1506.70
153.00,815.46,327.25,568.31,1229.64,1553.08
153.50,827.93,297.85,559.63,1268.55,1618.23
154.00,813.72,294.23,558.68,1295.37,1622.33
154.50,807.17,277.83,551.52,1308.73,1657.82
155.00,794.32,250.69,544.96,1310.00,1673.13
155.50,756.06,192.32,519.77,1296.03,1706.90
156.00,722.07,156.01,498.12,1284.12,1720.85
156.50,897.28,141.70,485.82,1275.95,1738.05
157.00,858.14,149.05,478.83,1260.69,1751.24
157.50,835.77,157.08,479.45,1245.99,1745.76
