ID,Type_C_0_S,NAME_EVENT,NAME_ALT,CRUST_BLK,AGE_TEXT,NAME_PART,COMMENT,AGE,2018_Name,2018_Age,PLATEID,area_km2
0,C,Emeishan,,South China craton,258 Ma,Emeishan,,259,Emeishan,259,602,705818.4772062206
0,C,Yakutsk-Vilyui,,Siberian craton,ca. 370,Yakutsk-Vilyui,,370,Vilyui,374,404,1143822.3022723389
0,C,Kalkarindji,,Australian craton,510 Ma,Kalkarindji,,510,Kalkarindji,511,801,3543990.0165662281
0,C,Magdalen-Maritimes,,Appalachian terranes,360-320 Ma,Appalachians,,360,Magdalen,360,101,421843.1721644479
0,C,Kola-Dnieper [East European craton],,Baltica,365 Ma,Kola-Dnieper [East European craton],,370,Kola-Dnieper,380,302,5899074.2352424674
0,C,Wichita Mountains,,Laurentia,ca. 530,Wichita mtns,,530,Wichita,535,101,181314.2833335028
0,C,Tarim (possibly incorrectly located),,Tarim craton,280 Ma,Tarim Block (possibly incorrectly located),,280,Tarim,290,480,155526.6893766787
0,C,Grenville-Rideau (Middle Central-Iapetus),,Laurentia,590 Ma,Grenville-Rideau (Middle Central-Iapetus),,590,CIMP - A,580,101,159978.4070458890
0,C,Long Range (Early Central-Iapetus),,Laurentia,615 Ma,Long Range (Early Central-Iapetus),,615,CIMP - B,615,101,83952.7297129104
0,C,Sept-Iles - Catoctin (Late Central-Iapetus),,Laurentia,575-.550 Ma,Sept-Iles - Catoctin (Late Central-Iapetus),,575,CIMP - A,580,101,8962.5533849789
0,C,Baltoscandian - Egersund,,Baltica,616 Ma,Egersund,,615,CIMP - B,615,302,14497.1183029798
0,C,Baltoscandian - Egersund,,Baltica,616 Ma,Baltoscandian,,615,CIMP - B,615,302,60366.0944743193
0,C,Catoctin,,Laurentia,560 Ma,Catoctin,,560,CIMP - A,580,101,14143.0865112204
0,C,CAMP-Africa,,,204-191 Ma (peak at 200 Ma),CAMP-Africa,,201,CAMP,201,714,4389931.5395968864
0,C,CAMP-South America,,,204-191 Ma (peak at 200 Ma),CAMP-South America,,201,CAMP,201,201,5495408.8665355826
0,C,CAMP-Eastern North America (ENA),,,204-191 Ma (peak at 200 Ma),CAMP-North America,,201,CAMP,201,101,1338606.3418901348
0,C,CAMP-Europe,,,204-191 Ma (peak at 200 Ma),CAMP-Iberia,,201,CAMP,201,304,218896.0775134081
0,C,CAMP-Europe,,,204-191 Ma (peak at 200 Ma),CAMP-Brittany,,201,CAMP,201,305,13948.2694422095
0,C,Karoo,,,183-179 Ma,Karoo (Africa),,183,Karoo,183,701,3206783.9308303199
0,C,Madagascar,,,mainly 90-84 Ma,Madagascar,,93,Madagascar,90,702,627072.2037945148
0,C,Trap,,,140-130 Ma,Trap,,140,Trap,140,102,29698.4592192819
0,C,Ferrar,,,183-179 Ma,Ferrar-1,,183,Ferrar,183,841,91069.4120940259
0,C,Ferrar,,,183-179 Ma,Ferrar-2,,183,Ferrar,183,841,62435.1359267552
0,C,Ferrar,,,183-179 Ma,Ferrar-3,,183,Ferrar,183,841,25360.6044455693
0,C,Columbia River,,,mainly 16.5-14.5 Ma,Columbia River,,16,Columbia River,16,101,676420.9638731702
0,C,Deccan,,,66 Ma,Deccan,,66,Deccan,66,501,831189.9642862922
0,C,NAIP (North Atlantic Volcanic Province)-Europe,,,mainly 62-58 Ma,British Tertiary,,62,NAIP,62,303,252594.5404084782
0,C,Siberian Trap LIP,,,251-249 Ma,Siberian Trap LIP,,251,Siberia,252,401,3459274.3637365820
0,C,Tarim,,,280,Tarim,,280,Tarim,290,480,198984.3002889378
0,C,EQUAMP (Equatorial Atlantic Magmatic Province),,South America,130,,,134,EQUAMP,131,201,660290.9507699276
0,C,South Qiangtang,,South Qiangtang terrane,280 Ma,,,280,Qiangtang,283,616,66486.3776204153
